Anno,Codice territoriale,Entita.territoriale,Denominazione territoriale,Sesso,Classi.di.eta,Decessi,Tasso di mortalità (per mille abitanti)
2015,223,Ripartizione,Nord,Femmine,30-34,179,0.2
2015,223,Ripartizione,Nord,Maschi e femmine,30-34,599,0.4
2015,223,Ripartizione,Nord,Maschi,35-39,619,0.7
2015,223,Ripartizione,Nord,Femmine,35-39,338,0.4
2015,223,Ripartizione,Nord,Maschi e femmine,35-39,957,0.5
2015,223,Ripartizione,Nord,Maschi,40-44,1137,1
2015,223,Ripartizione,Nord,Femmine,40-44,695,0.6
2015,223,Ripartizione,Nord,Maschi e femmine,40-44,1832,0.8
2015,223,Ripartizione,Nord,Maschi,45-49,2085,1.8
2015,223,Ripartizione,Nord,Femmine,45-49,1246,1.1
2015,223,Ripartizione,Nord,Maschi e femmine,45-49,3331,1.4
2015,223,Ripartizione,Nord,Maschi,50-54,3260,3
2015,223,Ripartizione,Nord,Femmine,50-54,1970,1.8
2015,223,Ripartizione,Nord,Maschi e femmine,50-54,5230,2.4
2015,223,Ripartizione,Nord,Maschi,55-59,4449,4.9
2015,223,Ripartizione,Nord,Femmine,55-59,2676,2.8
2015,223,Ripartizione,Nord,Maschi e femmine,55-59,7125,3.8
2015,223,Ripartizione,Nord,Maschi,60-64,6703,8.3
2015,223,Ripartizione,Nord,Femmine,60-64,3876,4.5
2015,223,Ripartizione,Nord,Maschi e femmine,60-64,10579,6.4
2015,223,Ripartizione,Nord,Maschi,65-69,10578,13.1
2015,223,Ripartizione,Nord,Femmine,65-69,6160,7
2015,223,Ripartizione,Nord,Maschi e femmine,65-69,16738,9.9
2015,223,Ripartizione,Nord,Maschi,70-74,14241,21.8
2015,223,Ripartizione,Nord,Femmine,70-74,8913,11.8
2015,223,Ripartizione,Nord,Maschi e femmine,70-74,23154,16.4
2015,223,Ripartizione,Nord,Maschi,75-79,21827,37
2015,223,Ripartizione,Nord,Femmine,75-79,15826,21.2
2015,223,Ripartizione,Nord,Maschi e femmine,75-79,37653,28.2
2015,223,Ripartizione,Nord,Maschi,80-84,27153,69.9
2015,223,Ripartizione,Nord,Femmine,80-84,26449,44.6
2015,223,Ripartizione,Nord,Maschi e femmine,80-84,53602,54.6
2015,223,Ripartizione,Nord,Maschi,85-89,26913,131.2
2015,223,Ripartizione,Nord,Femmine,85-89,38325,91.8
2015,223,Ripartizione,Nord,Maschi e femmine,85-89,65238,104.8
2015,223,Ripartizione,Nord,Maschi,90-94,16635,234.7
2015,223,Ripartizione,Nord,Femmine,90-94,37314,180
2015,223,Ripartizione,Nord,Maschi e femmine,90-94,53949,194
2015,223,Ripartizione,Nord,Maschi,95 e più,4237,395.6
2015,223,Ripartizione,Nord,Femmine,95 e più,16694,342.7
2015,223,Ripartizione,Nord,Maschi e femmine,95 e più,20931,352.2
2015,223,Ripartizione,Nord,Maschi,Totale,141519,10.5
2015,223,Ripartizione,Nord,Femmine,Totale,161357,11.3
2015,223,Ripartizione,Nord,Maschi e femmine,Totale,302876,10.9
2015,227,Ripartizione,Nord-ovest,Maschi,0-4,215,0.6
2015,227,Ripartizione,Nord-ovest,Femmine,0-4,192,0.6
2015,227,Ripartizione,Nord-ovest,Maschi e femmine,0-4,407,0.6
2015,227,Ripartizione,Nord-ovest,Maschi,9-May,24,0.1
2015,227,Ripartizione,Nord-ovest,Femmine,9-May,18,0
2015,227,Ripartizione,Nord-ovest,Maschi e femmine,9-May,42,0.1
2015,227,Ripartizione,Nord-ovest,Maschi,14-Oct,41,0.1
2015,227,Ripartizione,Nord-ovest,Femmine,14-Oct,15,0
2015,227,Ripartizione,Nord-ovest,Maschi e femmine,14-Oct,56,0.1
2015,227,Ripartizione,Nord-ovest,Maschi,15-19,102,0.3
2015,227,Ripartizione,Nord-ovest,Femmine,15-19,47,0.1
2015,227,Ripartizione,Nord-ovest,Maschi e femmine,15-19,149,0.2
2015,227,Ripartizione,Nord-ovest,Maschi,20-24,151,0.4
2015,227,Ripartizione,Nord-ovest,Femmine,20-24,62,0.2
2015,227,Ripartizione,Nord-ovest,Maschi e femmine,20-24,213,0.3
2015,227,Ripartizione,Nord-ovest,Maschi,25-29,159,0.4
2015,227,Ripartizione,Nord-ovest,Femmine,25-29,82,0.2
2015,227,Ripartizione,Nord-ovest,Maschi e femmine,25-29,241,0.3
2015,227,Ripartizione,Nord-ovest,Maschi,30-34,242,0.5
2015,227,Ripartizione,Nord-ovest,Femmine,30-34,96,0.2
2015,227,Ripartizione,Nord-ovest,Maschi e femmine,30-34,338,0.4
2015,227,Ripartizione,Nord-ovest,Maschi,35-39,365,0.7
2015,227,Ripartizione,Nord-ovest,Femmine,35-39,186,0.3
2015,227,Ripartizione,Nord-ovest,Maschi e femmine,35-39,551,0.5
2015,227,Ripartizione,Nord-ovest,Maschi,40-44,661,1
2015,227,Ripartizione,Nord-ovest,Femmine,40-44,381,0.6
2015,227,Ripartizione,Nord-ovest,Maschi e femmine,40-44,1042,0.8
2015,227,Ripartizione,Nord-ovest,Maschi,45-49,1232,1.8
2015,227,Ripartizione,Nord-ovest,Femmine,45-49,747,1.1
2015,227,Ripartizione,Nord-ovest,Maschi e femmine,45-49,1979,1.5
2015,227,Ripartizione,Nord-ovest,Maschi,50-54,1976,3.2
2015,227,Ripartizione,Nord-ovest,Femmine,50-54,1164,1.8
2015,227,Ripartizione,Nord-ovest,Maschi e femmine,50-54,3140,2.5
2015,227,Ripartizione,Nord-ovest,Maschi,55-59,2695,5.1
2015,227,Ripartizione,Nord-ovest,Femmine,55-59,1602,2.9
2015,227,Ripartizione,Nord-ovest,Maschi e femmine,55-59,4297,4
2015,227,Ripartizione,Nord-ovest,Maschi,60-64,3940,8.4
2015,227,Ripartizione,Nord-ovest,Femmine,60-64,2298,4.6
2015,227,Ripartizione,Nord-ovest,Maschi e femmine,60-64,6238,6.4
2015,227,Ripartizione,Nord-ovest,Maschi,65-69,6323,13.4
2015,227,Ripartizione,Nord-ovest,Femmine,65-69,3623,7
2015,227,Ripartizione,Nord-ovest,Maschi e femmine,65-69,9946,10
2015,227,Ripartizione,Nord-ovest,Maschi,70-74,8446,22.2
2015,227,Ripartizione,Nord-ovest,Femmine,70-74,5345,12
2015,227,Ripartizione,Nord-ovest,Maschi e femmine,70-74,13791,16.7
2015,227,Ripartizione,Nord-ovest,Maschi,75-79,13292,38
2015,227,Ripartizione,Nord-ovest,Femmine,75-79,9683,21.7
2015,227,Ripartizione,Nord-ovest,Maschi e femmine,75-79,22975,28.9
2015,227,Ripartizione,Nord-ovest,Maschi,80-84,16234,71.2
2015,227,Ripartizione,Nord-ovest,Femmine,80-84,16074,45.7
2015,227,Ripartizione,Nord-ovest,Maschi e femmine,80-84,32308,55.7
2015,227,Ripartizione,Nord-ovest,Maschi,85-89,15604,132.8
2015,227,Ripartizione,Nord-ovest,Femmine,85-89,22557,93.2
2015,227,Ripartizione,Nord-ovest,Maschi e femmine,85-89,38161,106.2
2015,227,Ripartizione,Nord-ovest,Maschi,90-94,9167,237.7
2015,227,Ripartizione,Nord-ovest,Femmine,90-94,20900,181.6
2015,227,Ripartizione,Nord-ovest,Maschi e femmine,90-94,30067,195.7
2015,227,Ripartizione,Nord-ovest,Maschi,95 e più,2200,387.9
2015,227,Ripartizione,Nord-ovest,Femmine,95 e più,9378,344.5
2015,227,Ripartizione,Nord-ovest,Maschi e femmine,95 e più,11578,352
2015,227,Ripartizione,Nord-ovest,Maschi,Totale,83069,10.6
2015,227,Ripartizione,Nord-ovest,Femmine,Totale,94450,11.4
2015,227,Ripartizione,Nord-ovest,Maschi e femmine,Totale,177519,11
2015,228,Ripartizione,Nord-est,Maschi,0-4,166,0.6
2015,228,Ripartizione,Nord-est,Femmine,0-4,118,0.5
2015,228,Ripartizione,Nord-est,Maschi e femmine,0-4,284,0.6
2015,228,Ripartizione,Nord-est,Maschi,9-May,19,0.1
2015,228,Ripartizione,Nord-est,Femmine,9-May,18,0.1
2015,228,Ripartizione,Nord-est,Maschi e femmine,9-May,37,0.1
2015,228,Ripartizione,Nord-est,Maschi,14-Oct,28,0.1
2015,228,Ripartizione,Nord-est,Femmine,14-Oct,19,0.1
2015,228,Ripartizione,Nord-est,Maschi e femmine,14-Oct,47,0.1
2015,228,Ripartizione,Nord-est,Maschi,15-19,75,0.3
2015,228,Ripartizione,Nord-est,Femmine,15-19,30,0.1
2015,228,Ripartizione,Nord-est,Maschi e femmine,15-19,105,0.2
2015,228,Ripartizione,Nord-est,Maschi,20-24,137,0.5
2015,228,Ripartizione,Nord-est,Femmine,20-24,42,0.2
2015,228,Ripartizione,Nord-est,Maschi e femmine,20-24,179,0.3
2015,228,Ripartizione,Nord-est,Maschi,25-29,145,0.5
2015,228,Ripartizione,Nord-est,Femmine,25-29,53,0.2
2015,228,Ripartizione,Nord-est,Maschi e femmine,25-29,198,0.3
2015,228,Ripartizione,Nord-est,Maschi,30-34,178,0.5
2015,228,Ripartizione,Nord-est,Femmine,30-34,83,0.3
2015,228,Ripartizione,Nord-est,Maschi e femmine,30-34,261,0.4
2015,228,Ripartizione,Nord-est,Maschi,35-39,254,0.6
2015,228,Ripartizione,Nord-est,Femmine,35-39,152,0.4
2015,228,Ripartizione,Nord-est,Maschi e femmine,35-39,406,0.5
2015,228,Ripartizione,Nord-est,Maschi,40-44,476,1
2015,228,Ripartizione,Nord-est,Femmine,40-44,314,0.7
2015,228,Ripartizione,Nord-est,Maschi e femmine,40-44,790,0.8
2015,228,Ripartizione,Nord-est,Maschi,45-49,853,1.7
2015,228,Ripartizione,Nord-est,Femmine,45-49,499,1
2015,228,Ripartizione,Nord-est,Maschi e femmine,45-49,1352,1.4
2015,228,Ripartizione,Nord-est,Maschi,50-54,1284,2.8
2015,228,Ripartizione,Nord-est,Femmine,50-54,806,1.7
2015,228,Ripartizione,Nord-est,Maschi e femmine,50-54,2090,2.3
2015,228,Ripartizione,Nord-est,Maschi,55-59,1754,4.6
2015,228,Ripartizione,Nord-est,Femmine,55-59,1074,2.7
2015,228,Ripartizione,Nord-est,Maschi e femmine,55-59,2828,3.6
2015,228,Ripartizione,Nord-est,Maschi,60-64,2763,8.3
2015,228,Ripartizione,Nord-est,Femmine,60-64,1578,4.4
2015,228,Ripartizione,Nord-est,Maschi e femmine,60-64,4341,6.3
2015,228,Ripartizione,Nord-est,Maschi,65-69,4255,12.7
2015,228,Ripartizione,Nord-est,Femmine,65-69,2537,7
2015,228,Ripartizione,Nord-est,Maschi e femmine,65-69,6792,9.7
2015,228,Ripartizione,Nord-est,Maschi,70-74,5795,21.2
2015,228,Ripartizione,Nord-est,Femmine,70-74,3568,11.4
2015,228,Ripartizione,Nord-est,Maschi e femmine,70-74,9363,16
2015,228,Ripartizione,Nord-est,Maschi,75-79,8535,35.5
2015,228,Ripartizione,Nord-est,Femmine,75-79,6143,20.4
2015,228,Ripartizione,Nord-est,Maschi e femmine,75-79,14678,27.1
2015,228,Ripartizione,Nord-est,Maschi,80-84,10919,67.9
2015,228,Ripartizione,Nord-est,Femmine,80-84,10375,43.1
2015,228,Ripartizione,Nord-est,Maschi e femmine,80-84,21294,53
2015,228,Ripartizione,Nord-est,Maschi,85-89,11309,129.1
2015,228,Ripartizione,Nord-est,Femmine,85-89,15768,89.9
2015,228,Ripartizione,Nord-est,Maschi e femmine,85-89,27077,102.9
2015,228,Ripartizione,Nord-est,Maschi,90-94,7468,231.1
2015,228,Ripartizione,Nord-est,Femmine,90-94,16414,178.1
2015,228,Ripartizione,Nord-est,Maschi e femmine,90-94,23882,191.9
2015,228,Ripartizione,Nord-est,Maschi,95 e più,2037,404.3
2015,228,Ripartizione,Nord-est,Femmine,95 e più,7316,340.4
2015,228,Ripartizione,Nord-est,Maschi e femmine,95 e più,9353,352.5
2015,228,Ripartizione,Nord-est,Maschi,Totale,58450,10.3
2015,228,Ripartizione,Nord-est,Femmine,Totale,66907,11.2
2015,228,Ripartizione,Nord-est,Maschi e femmine,Totale,125357,10.8
2015,224,Ripartizione,Centro,Maschi,0-4,189,0.7
2015,224,Ripartizione,Centro,Femmine,0-4,133,0.5
2015,224,Ripartizione,Centro,Maschi e femmine,0-4,322,0.6
2015,224,Ripartizione,Centro,Maschi,9-May,21,0.1
2015,224,Ripartizione,Centro,Femmine,9-May,8,0
2015,224,Ripartizione,Centro,Maschi e femmine,9-May,29,0.1
