Regione,Popolazione al 1° gennaio - Maschi,Popolazione al 1° gennaio - Femmine,Popolazione al 1° gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 dicembre - Maschi,Popolazione al 31 dicembre - Femmine,Popolazione al 31 dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
Piemonte,2146570,2290228,4436798,17740,16897,34637,23526,25886,49412,-5786,-8989,-14775,60945,62512,123457,8853,10092,18945,5722,3606,9328,59645,61387,121032,5598,5074,10672,10767,6815,17582,-490,2934,2444,2128117,2263179,4391296,12177,20994,33171,0,0,0,2140294,2284173,4424467,2014368,2728,2.18
Valle D'Aosta,62753,65838,128591,576,543,1119,629,660,1289,-53,-117,-170,2329,2471,4800,185,257,442,78,65,143,2293,2423,4716,181,166,347,254,191,445,-136,13,-123,62111,65281,127392,453,453,906,0,0,0,62564,65734,128298,61457,102,2.07
Liguria,756328,835611,1591939,5596,5153,10749,9643,11012,20655,-4047,-5859,-9906,17601,18278,35879,3383,3439,6822,3368,2486,5854,16961,18047,35008,2052,1826,3878,4975,3464,8439,364,866,1230,748472,823535,1572007,4173,7083,11256,0,0,0,752645,830618,1583263,778090,933,2.02
Lombardia,4866278,5107119,9973397,44108,42131,86239,42963,47498,90461,1145,-5367,-4222,139433,137782,277215,27637,30112,57749,23631,16252,39883,132500,130745,263245,15079,12951,28030,28930,21202,50132,14192,19248,33440,4863568,5084099,9947667,18047,36901,54948,0,0,0,4881615,5121000,10002615,4400798,3394,2.26
Trentino Alto Adige,516313,535638,1051951,5334,5045,10379,4257,4617,8874,1077,428,1505,13009,13656,26665,2378,2764,5142,841,463,1304,11629,12354,23983,1945,1958,3903,1696,1051,2747,958,1520,2478,513259,531526,1044785,5089,6060,11149,0,0,0,518348,537586,1055934,446162,732,2.34
Veneto,2402035,2524783,4926818,20748,19881,40629,21997,23958,45955,-1249,-4077,-5326,58324,61741,120065,10300,12306,22606,6040,3948,9988,56946,60701,117647,7315,6646,13961,8831,6116,14947,1572,4532,6104,2390553,2500470,4891023,11805,24768,36573,0,0,0,2402358,2525238,4927596,2057227,2324,2.38
Friuli Venezia Giulia,594690,634673,1229363,4783,4394,9177,6387,7377,13764,-1604,-2983,-4587,14725,15117,29842,2403,2818,5221,1985,1249,3234,13890,14378,28268,2068,1936,4004,2234,1445,3679,921,1425,2346,590339,627073,1217412,3668,6042,9710,0,0,0,594007,633115,1227122,560261,540,2.17
Emilia Romagna,2153611,2292743,4446354,18840,17828,36668,22694,25034,47728,-3854,-7206,-11060,55421,56409,111830,10906,13609,24515,7304,4656,11960,51979,52446,104425,5479,5147,10626,10708,7332,18040,5465,9749,15214,2144385,2279503,4423888,10837,15783,26620,0,0,0,2155222,2295286,4450508,1992642,2472,2.22
Marche,752044,801094,1553138,6356,6007,12363,8196,8630,16826,-1840,-2623,-4463,14765,15609,30374,3227,3986,7213,1983,1497,3480,14738,15672,30410,2091,2020,4111,2475,1950,4425,671,1450,2121,748494,795731,1544225,2381,4190,6571,0,0,0,750875,799921,1550796,644444,707,2.4
Toscana,1803125,1947386,3750511,14950,14168,29118,19734,21773,41507,-4784,-7605,-12389,42854,44984,87838,10018,11245,21263,7471,5700,13171,40071,41961,82032,4238,4265,8503,9817,7388,17205,6217,8315,14532,1797197,1937889,3735086,7361,10207,17568,0,0,0,1804558,1948096,3752654,1643040,1801,2.27
