Regione,Popolazione al 1° gennaio - Maschi,Popolazione al 1° gennaio - Femmine,Popolazione al 1° gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 dicembre - Maschi,Popolazione al 31 dicembre - Femmine,Popolazione al 31 dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
Piemonte,2140294,2284173,4424467,17200,15708,32908,25545,28531,54076,-8345,-12823,-21168,59661,61580,121241,10372,9499,19871,4745,2746,7491,58196,60223,118419,6226,5668,11894,10413,6930,17343,-57,1004,947,2118040,2251309,4369349,13852,21045,34897,0,0,0,2131892,2272354,4404246,2011261,2827,2.17
Valle D'Aosta,62564,65734,128298,507,480,987,700,805,1505,-193,-325,-518,2220,2265,4485,176,234,410,111,97,208,2265,2318,4583,177,206,383,326,262,588,-261,-190,-451,61672,64769,126441,438,450,888,0,0,0,62110,65219,127329,61198,99,2.07
Liguria,752645,830618,1583263,5188,4967,10155,10329,12139,22468,-5141,-7172,-12313,17579,18196,35775,3710,3276,6986,2779,1817,4596,16896,17723,34619,2023,1841,3864,5145,3626,8771,4,99,103,742734,816543,1559277,4774,7002,11776,0,0,0,747508,823545,1571053,773197,949,2.02
Lombardia,4881615,5121000,10002615,43399,40750,84149,46495,52975,99470,-3096,-12225,-15321,138027,136261,274288,26586,26632,53218,12998,7681,20679,132570,130760,263330,16127,13820,29947,20890,12963,33853,8024,13031,21055,4867665,5085829,9953494,18878,35977,54855,0,0,0,4886543,5121806,10008349,4416351,3440,2.25
Trentino Alto Adige,518348,537586,1055934,5201,4972,10173,4467,4941,9408,734,31,765,13448,13969,27417,2960,2868,5828,907,474,1381,12286,12842,25128,2074,2052,4126,1819,1138,2957,1136,1279,2415,514840,532965,1047805,5378,5931,11309,0,0,0,520218,538896,1059114,449692,735,2.33
Veneto,2402358,2525238,4927596,19919,19042,38961,23108,26453,49561,-3189,-7411,-10600,58253,61755,120008,9814,11573,21387,5269,3347,8616,57359,61001,118360,7976,7221,15197,10648,7679,18327,-2647,774,-1873,2384689,2494590,4879279,11833,24011,35844,0,0,0,2396522,2518601,4915123,2062371,2249,2.37
Friuli Venezia Giulia,594007,633115,1227122,4358,4217,8575,6904,7903,14807,-2546,-3686,-6232,14434,15178,29612,2848,2662,5510,840,520,1360,14078,14613,28691,2203,1929,4132,1978,1353,3331,-137,465,328,587829,624091,1211920,3495,5803,9298,0,0,0,591324,629894,1221218,560013,535,2.16
Emilia Romagna,2155222,2295286,4450508,18445,17368,35813,23971,27610,51581,-5526,-10242,-15768,54863,55870,110733,12545,12872,25417,6111,3728,9839,50659,51654,102313,5843,5458,11301,11307,7662,18969,5710,7696,13406,2143449,2277308,4420757,11957,15432,27389,0,0,0,2155406,2292740,4448146,1993607,2592,2.22
Marche,750875,799921,1550796,6050,5854,11904,8697,9509,18206,-2647,-3655,-6302,14557,15321,29878,3461,3715,7176,1255,893,2148,14771,15516,30287,2223,2244,4467,2870,2320,5190,-591,-151,-742,745020,792023,1537043,2617,4092,6709,0,0,0,747637,796115,1543752,645320,736,2.38
Toscana,1804558,1948096,3752654,14276,13218,27494,21426,23924,45350,-7150,-10706,-17856,41925,43675,85600,9785,10728,20513,5671,3851,9522,39953,41501,81454,4221,4299,8520,9147,6914,16061,4060,5540,9600,1793698,1932897,3726595,7770,10033,17803,0,0,0,1801468,1942930,3744398,1644030,1844,2.27
