Codice,Provincia,Popolazione al 1° Gennaio - Maschi,Popolazione al 1° Gennaio - Femmine,Popolazione al 1° Gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 Dicembre - Maschi,Popolazione al 31 Dicembre - Femmine,Popolazione al 31 Dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
001,Torino,1108845,1182145,2290990,10792,9995,20787,11326,12124,23450,-534,-2129,-2663,31640,31555,63195,8187,10056,18243,914,323,1237,32157,31912,64069,1745,1444,3189,4002,2144,6146,2837,6434,9271,1105459,1176697,2282156,5689,9753,15442,0,0,0,1111148,1186450,2297598,1043153,1154,2.19
002,Vercelli,87136,92975,180111,714,673,1387,1109,1252,2361,-395,-579,-974,2434,2543,4977,518,724,1242,102,64,166,2376,2529,4905,119,116,235,354,230,584,205,456,661,86358,91613,177971,588,1239,1827,0,0,0,86946,92852,179798,81942,122,2.17
003,Novara,177979,188500,366479,1673,1673,3346,1824,2056,3880,-151,-383,-534,5752,5714,11466,1462,1730,3192,305,161,466,5322,5390,10712,270,221,491,641,361,1002,1286,1633,2919,178338,188178,366516,776,1572,2348,0,0,0,179114,189750,368864,159823,189,2.29
004,Cuneo,288435,297585,586020,2823,2789,5612,3388,3436,6824,-565,-647,-1212,8554,8892,17446,2143,2658,4801,161,77,238,7939,8217,16156,404,384,788,467,296,763,2048,2730,4778,288086,296254,584340,1832,3414,5246,0,0,0,289918,299668,589586,253505,498,2.31
005,Asti,107110,113046,220156,996,945,1941,1242,1527,2769,-246,-582,-828,3270,3395,6665,977,1253,2230,74,36,110,3095,3237,6332,213,192,405,273,172,445,740,1083,1823,106806,112112,218918,798,1435,2233,0,0,0,107604,113547,221151,96683,162,2.26
006,Alessandria,211485,227241,438726,1743,1600,3343,2836,3312,6148,-1093,-1712,-2805,6122,6319,12441,1487,1979,3466,167,66,233,5614,5935,11549,257,237,494,392,212,604,1513,1980,3493,210812,224950,435762,1093,2559,3652,0,0,0,211905,227509,439414,203323,292,2.14
007,Aosta,62451,64614,127065,678,630,1308,641,631,1272,37,-1,36,2516,2634,5150,314,463,777,52,25,77,2449,2475,4924,89,90,179,89,47,136,255,510,765,62269,64688,126957,474,435,909,0,0,0,62743,65123,127866,59381,96,2.14
008,Imperia,105770,114942,220712,834,842,1676,1355,1486,2841,-521,-644,-1165,3263,3382,6645,1059,1296,2355,162,86,248,2888,3105,5993,263,206,469,296,152,448,1037,1301,2338,105725,114646,220371,561,953,1514,0,0,0,106286,115599,221885,106116,147,2.08
009,Savona,136555,150091,286646,1070,1049,2119,1860,1934,3794,-790,-885,-1675,4348,4769,9117,1135,1212,2347,171,80,251,4015,4401,8416,212,193,405,347,203,550,1080,1264,2344,136308,149217,285525,537,1253,1790,0,0,0,136845,150470,287315,141384,210,2.02
010,Genova,418284,466351,884635,3438,3390,6828,5607,6497,12104,-2169,-3107,-5276,7096,7487,14583,2930,3046,5976,720,373,1093,6965,7186,14151,564,490,1054,1634,992,2626,1583,2238,3821,415418,460965,876383,2280,4517,6797,0,0,0,417698,465482,883180,434395,524,2.02
