Codice,Provincia,Popolazione al 1° Gennaio - Maschi,Popolazione al 1° Gennaio - Femmine,Popolazione al 1° Gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 Dicembre - Maschi,Popolazione al 31 Dicembre - Femmine,Popolazione al 31 Dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
001,Torino              ,1086297,1156478,2242775,10391,9660,20051,10833,11258,22091,-442,-1598,-2040,34006,33253,67259,5344,6634,11978,1371,509,1880,35193,34322,69515,1144,934,2078,887,417,1304,3497,4723,8220,1084102,1149614,2233716,5250,9989,15239,0,0,0,1089352,1159603,2248955,1007628,1102,2.2
002,Vercelli            ,85585,91442,177027,720,652,1372,1117,1126,2243,-397,-474,-871,2654,2578,5232,347,469,816,81,31,112,2634,2651,5285,75,69,144,123,59,182,250,299,549,84868,90067,174935,570,1200,1770,0,0,0,85438,91267,176705,80419,122,2.2
003,Novara              ,172425,182929,355354,1652,1654,3306,1791,1941,3732,-139,-287,-426,6623,6283,12906,887,1096,1983,244,118,362,5981,5713,11694,166,130,296,338,163,501,1269,1491,2760,172741,182441,355182,814,1692,2506,0,0,0,173555,184133,357688,153277,192,2.3
004,Cuneo               ,281728,290099,571827,2670,2561,5231,3241,3201,6442,-571,-640,-1211,8935,8605,17540,1195,1530,2725,220,95,315,8270,8130,16400,271,235,506,454,223,677,1355,1642,2997,280698,287432,568130,1814,3669,5483,0,0,0,282512,291101,573613,243675,477,2.3
005,Asti                ,104066,110139,214205,943,895,1838,1273,1458,2731,-330,-563,-893,3449,3436,6885,649,773,1422,81,59,140,3148,3173,6321,95,78,173,126,65,191,810,952,1762,103817,109087,212904,729,1441,2170,0,0,0,104546,110528,215074,93710,155,2.3
006,Alessandria         ,207639,223707,431346,1660,1602,3262,2799,3157,5956,-1139,-1555,-2694,6865,6733,13598,1041,1218,2259,586,261,847,6165,6131,12296,188,181,369,301,175,476,1838,1725,3563,207143,221313,428456,1195,2564,3759,0,0,0,208338,223877,432215,198485,302,2.2
007,Aosta               ,61021,62957,123978,661,589,1250,603,639,1242,58,-50,8,2582,2490,5072,252,355,607,47,23,70,2381,2298,4679,47,50,97,99,48,147,354,472,826,60940,62918,123858,493,461,954,0,0,0,61433,63379,124812,57467,92,2.2
008,Imperia             ,103981,113056,217037,803,791,1594,1319,1494,2813,-516,-703,-1219,3250,3315,6565,697,754,1451,527,424,951,2881,2908,5789,222,180,402,690,550,1240,681,855,1536,103575,112431,216006,571,777,1348,0,0,0,104146,113208,217354,103628,150,2.1
009,Savona              ,134364,148184,282548,1055,1054,2109,1751,1960,3711,-696,-906,-1602,4551,4901,9452,768,789,1557,208,83,291,4027,4289,8316,156,154,310,285,117,402,1059,1213,2272,134238,147224,281462,489,1267,1756,0,0,0,134727,148491,283218,138175,215,2
010,Genova              ,421155,469708,890863,3435,3305,6740,5430,6294,11724,-1995,-2989,-4984,7461,7800,15261,2061,2465,4526,734,341,1075,8052,8132,16184,486,393,879,1294,1290,2584,424,791,1215,417332,462910,880242,2252,4600,6852,0,0,0,419584,467510,887094,429835,541,2
