Codice,Provincia,Popolazione al 1° Gennaio - Maschi,Popolazione al 1° Gennaio - Femmine,Popolazione al 1° Gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 Dicembre - Maschi,Popolazione al 31 Dicembre - Femmine,Popolazione al 31 Dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
001,Torino              ,1089352,1159603,2248955,10576,9937,20513,11110,11240,22350,-534,-1303,-1837,34355,34212,68567,17215,19491,36706,1030,432,1462,36318,35870,72188,1213,989,2202,1120,657,1777,13949,16619,30568,1097504,1164795,2262299,5263,10124,15387,0,0,0,1102767,1174919,2277686,1025769,1117,2.2
002,Vercelli            ,85438,91267,176705,760,709,1469,1078,1135,2213,-318,-426,-744,2688,2704,5392,710,924,1634,67,21,88,2672,2672,5344,76,68,144,136,84,220,581,825,1406,85074,90436,175510,627,1230,1857,0,0,0,85701,91666,177367,81294,124,2.2
003,Novara              ,173555,184133,357688,1687,1686,3373,1675,1910,3585,12,-224,-212,6476,6185,12661,1821,2007,3828,276,103,379,5656,5465,11121,203,142,345,604,370,974,2110,2318,4428,174882,184575,359457,795,1652,2447,0,0,0,175677,186227,361904,155743,188,2.3
004,Cuneo               ,282512,291101,573613,2735,2637,5372,3211,3326,6537,-476,-689,-1165,9057,8573,17630,3227,4250,7477,200,68,268,8157,8008,16165,313,275,588,388,169,557,3626,4439,8065,283762,291286,575048,1900,3565,5465,0,0,0,285662,294851,580513,247498,495,2.3
005,Asti                ,104546,110528,215074,1008,851,1859,1230,1471,2701,-222,-620,-842,3435,3424,6859,1657,1997,3654,64,34,98,3142,3107,6249,130,111,241,176,96,272,1708,2141,3849,105298,110637,215935,734,1412,2146,0,0,0,106032,112049,218081,95226,153,2.3
006,Alessandria         ,208338,223877,432215,1674,1623,3297,2883,3112,5995,-1209,-1489,-2698,6822,6710,13532,2651,3155,5806,170,56,226,6064,6077,12141,217,184,401,402,246,648,2960,3414,6374,208951,223193,432144,1138,2609,3747,0,0,0,210089,225802,435891,200710,289,2.2
007,Aosta               ,61433,63379,124812,663,578,1241,643,631,1274,20,-53,-33,2417,2345,4762,528,689,1217,73,36,109,2321,2294,4615,63,58,121,109,43,152,525,675,1200,61487,63547,125034,491,454,945,0,0,0,61978,64001,125979,58586,90,2.1
008,Imperia             ,104146,113208,217354,919,781,1700,1348,1426,2774,-429,-645,-1074,3184,3267,6451,1162,1423,2585,311,213,524,2799,2961,5760,206,175,381,216,100,316,1436,1667,3103,104456,113150,217606,697,1080,1777,0,0,0,105153,114230,219383,104721,154,2.1
009,Savona              ,134727,148491,283218,1146,1018,2164,1727,1907,3634,-581,-889,-1470,4676,4991,9667,1257,1627,2884,183,68,251,4218,4567,8785,156,143,299,289,111,400,1453,1865,3318,135074,148212,283286,525,1255,1780,0,0,0,135599,149467,285066,139897,219,2
010,Genova              ,419584,467510,887094,3409,3214,6623,5528,6227,11755,-2119,-3013,-5132,7253,7668,14921,2231,2781,5012,695,331,1026,8283,8510,16793,480,390,870,938,542,1480,478,1338,1816,415703,461346,877049,2240,4489,6729,0,0,0,417943,465835,883778,430277,531,2
