Codice,Provincia,Popolazione al 1° Gennaio - Maschi,Popolazione al 1° Gennaio - Femmine,Popolazione al 1° Gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 Dicembre - Maschi,Popolazione al 31 Dicembre - Femmine,Popolazione al 31 Dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
039,Ravenna,184620,194848,379468,1885,1807,3692,2145,2188,4333,-260,-381,-641,4701,4403,9104,2592,3138,5730,246,134,380,3659,3382,7041,314,253,567,472,232,704,3094,3808,6902,186769,196460,383229,685,1815,2500,0,0,0,187454,198275,385729,171067,190,2.2
040,Forli'-Cesena,187241,195802,383043,1910,1810,3720,1981,2131,4112,-71,-321,-392,5179,4961,10140,2151,2604,4755,264,124,388,4324,4183,8507,318,251,569,579,260,839,2373,2995,5368,188735,196936,385671,808,1540,2348,0,0,0,189543,198476,388019,161919,207,2.4
041,Pesaro e Urbino,184663,191658,376321,1879,1794,3673,1921,1868,3789,-42,-74,-116,5890,5273,11163,2034,2371,4405,157,101,258,4670,4478,9148,328,301,629,326,198,524,2757,2768,5525,186853,193390,380243,525,962,1487,0,0,0,187378,194352,381730,154890,194,2.5
042,Ancona,227570,243146,470716,2395,2302,4697,2432,2563,4995,-37,-261,-298,5987,5799,11786,2422,2899,5321,252,139,391,5351,5340,10691,321,288,609,366,234,600,2623,2975,5598,229421,244543,473964,735,1317,2052,0,0,0,230156,245860,476016,197947,268,2.4
043,Macerata,155482,164168,319650,1524,1403,2927,1744,1816,3560,-220,-413,-633,3335,3411,6746,1891,2251,4142,137,77,214,3051,3189,6240,366,308,674,432,275,707,1514,1967,3481,156149,164463,320612,627,1259,1886,0,0,0,156776,165722,322498,126915,182,2.5
044,Ascoli Piceno,188077,198299,386376,1735,1605,3340,2019,2074,4093,-284,-469,-753,4355,4384,8739,1712,2167,3879,104,62,166,3985,4145,8130,259,208,467,289,187,476,1638,2073,3711,189045,199239,388284,386,664,1050,0,0,0,189431,199903,389334,151203,147,2.6
045,Massa Carrara,97416,105019,202435,884,806,1690,1171,1265,2436,-287,-459,-746,1980,2013,3993,1005,1018,2023,51,22,73,1874,1885,3759,105,82,187,79,55,134,978,1031,2009,97830,105258,203088,277,333,610,0,0,0,98107,105591,203698,90052,95,2.3
046,Lucca,185886,201172,387058,1780,1732,3512,2198,2462,4660,-418,-730,-1148,4764,4817,9581,1659,2014,3673,183,91,274,4055,4129,8184,274,243,517,330,207,537,1947,2343,4290,186976,201912,388888,439,873,1312,0,0,0,187415,202785,390200,164528,197,2.4
047,Pistoia,138275,149140,287415,1405,1312,2717,1489,1728,3217,-84,-416,-500,4144,4074,8218,1411,1968,3379,172,107,279,3583,3579,7162,185,140,325,442,266,708,1517,2164,3681,139386,150538,289924,322,350,672,0,0,0,139708,150888,290596,121192,118,2.4
048,Firenze,468611,508477,977088,4822,4364,9186,5189,5869,11058,-367,-1505,-1872,12519,12677,25196,5117,6137,11254,805,438,1243,12162,12185,24347,435,452,887,1835,1177,3012,4009,5438,9447,470177,508433,978610,2076,3977,6053,0,0,0,472253,512410,984663,427172,508,2.3
049,Livorno,163055,176285,339340,1428,1359,2787,2009,2197,4206,-581,-838,-1419,3204,3127,6331,1358,1752,3110,111,77,188,3020,3020,6040,205,184,389,272,158,430,1176,1594,2770,162533,175989,338522,1117,1052,2169,0,0,0,163650,177041,340691,151722,150,2.2
050,Pisa,197304,208579,405883,1982,1860,3842,2206,2342,4548,-224,-482,-706,6780,6663,13443,1952,2331,4283,183,77,260,5914,5805,11719,302,268,570,404,192,596,2295,2806,5101,198515,209812,408327,860,1091,1951,0,0,0,199375,210903,410278,170865,189,2.4
051,Arezzo,166530,175837,342367,1587,1486,3073,1835,1908,3743,-248,-422,-670,4220,4181,8401,1980,2261,4241,83,48,131,3602,3646,7248,277,264,541,228,129,357,2176,2451,4627,168000,177006,345006,458,860,1318,0,0,0,168458,177866,346324,141821,210,2.4
052,Siena,128683,137608,266291,1193,1123,2316,1572,1714,3286,-379,-591,-970,4055,4123,8178,1659,2312,3971,74,42,116,3768,3654,7422,204,230,434,173,84,257,1643,2509,4152,129238,138350,267588,709,1176,1885,0,0,0,129947,139526,269473,116101,154,2.3
053,Grosseto,107339,116090,223429,972,881,1853,1389,1402,2791,-417,-521,-938,2779,2690,5469,1222,1601,2823,52,33,85,2213,2285,4498,161,127,288,140,81,221,1539,1831,3370,107976,116973,224949,485,427,912,0,0,0,108461,117400,225861,102284,122,2.2
054,Perugia,316483,337319,653802,3205,3143,6348,3546,3688,7234,-341,-545,-886,6870,7028,13898,3690,5104,8794,226,120,346,6043,6423,12466,478,511,989,477,340,817,3788,4978,8766,318449,339316,657765,1481,2436,3917,0,0,0,319930,341752,661682,268089,456,2.5
055,Terni,110559,120089,230648,1016,907,1923,1441,1527,2968,-425,-620,-1045,2296,2255,4551,1249,1755,3004,45,22,67,2034,2055,4089,219,213,432,88,76,164,1249,1688,2937,111040,120742,231782,343,415,758,0,0,0,111383,121157,232540,99825,134,2.3
056,Viterbo,151405,159245,310650,1352,1290,2642,1754,1773,3527,-402,-483,-885,4881,4556,9437,1860,1954,3814,50,33,83,3607,3386,6993,190,163,353,157,73,230,2837,2921,5758,152772,160397,313169,1068,1286,2354,0,0,0,153840,161683,315523,134206,145,2.3
057,Rieti,76719,80077,156796,663,625,1288,909,928,1837,-246,-303,-549,2715,2703,5418,752,928,1680,44,24,68,1957,2094,4051,74,76,150,122,72,194,1358,1413,2771,77564,80723,158287,267,464,731,0,0,0,77831,81187,159018,68511,107,2.3
058,Roma,1939435,2122108,4061543,21918,21039,42957,17941,19100,37041,3977,1939,5916,46252,47841,94093,25611,27342,52953,2754,2155,4909,49305,49283,98588,2727,2424,5151,3330,2310,5640,19255,23321,42576,1944779,2122548,4067327,17888,24820,42708,0,0,0,1962667,2147368,4110035,1668212,2942,2.4
059,Latina,262973,274240,537213,2760,2740,5500,2267,2151,4418,493,589,1082,5665,5617,11282,2974,2793,5767,104,62,166,4817,4620,9437,334,261,595,167,94,261,3425,3497,6922,266509,277917,544426,382,409,791,0,0,0,266891,278326,545217,216443,175,2.5
060,Frosinone,241894,252921,494815,2233,2135,4368,2562,2318,4880,-329,-183,-512,4101,4259,8360,1500,1658,3158,71,46,117,4018,4232,8250,273,217,490,181,100,281,1200,1414,2614,242198,253076,495274,567,1076,1643,0,0,0,242765,254152,496917,194970,182,2.5
061,Caserta,437240,460580,897820,4979,4759,9738,3568,3581,7149,1411,1178,2589,12631,12576,25207,2047,2296,4343,672,493,1165,12719,12496,25215,294,230,524,676,512,1188,1661,2127,3788,439811,462510,902321,501,1375,1876,0,0,0,440312,463885,904197,322355,232,2.8
062,Benevento,140181,148651,288832,1235,1177,2412,1531,1451,2982,-296,-274,-570,2462,2692,5154,478,700,1178,24,12,36,2471,2771,5242,148,134,282,90,290,380,255,209,464,139953,148239,288192,187,347,534,0,0,0,140140,148586,288726,109854,92,2.6
063,Napoli,1492036,1591024,3083060,17751,16789,34540,12383,12512,24895,5368,4277,9645,33688,32255,65943,4131,5987,10118,483,381,864,46192,43738,89930,1790,2259,4049,626,650,1276,-10306,-8024,-18330,1484436,1581299,3065735,2662,5978,8640,0,0,0,1487098,1587277,3074375,1066454,861,2.9
064,Avellino,214784,224265,439049,1932,1873,3805,2137,2189,4326,-205,-316,-521,4443,4223,8666,806,1184,1990,30,25,55,4380,4481,8861,267,259,526,142,145,287,490,547,1037,214392,223815,438207,677,681,1358,0,0,0,215069,224496,439565,164887,173,2.7
065,Salerno,536236,566393,1102629,5191,5056,10247,5273,4936,10209,-82,120,38,9987,9976,19963,2753,3798,6551,134,102,236,10813,10991,21804,446,364,810,310,394,704,1305,2127,3432,536295,566999,1103294,1164,1641,2805,0,0,0,537459,568640,1106099,410026,331,2.7
066,L'Aquila,149821,157822,307643,1336,1165,2501,1720,1735,3455,-384,-570,-954,2866,2855,5721,1292,1466,2758,111,108,219,2788,2745,5533,194,156,350,218,155,373,1069,1373,2442,149639,157781,307420,867,844,1711,0,0,0,150506,158625,309131,126330,164,2.4
067,Teramo,149586,156481,306067,1464,1358,2822,1575,1468,3043,-111,-110,-221,3453,3484,6937,1606,1861,3467,502,485,987,3135,3412,6547,241,189,430,242,180,422,1943,2049,3992,151289,158239,309528,129,181,310,0,0,0,151418,158420,309838,121411,70,2.5
068,Pescara,152268,163557,315825,1550,1464,3014,1496,1478,2974,54,-14,40,4133,4351,8484,1078,1463,2541,210,147,357,3640,3795,7435,147,115,262,217,124,341,1417,1927,3344,153451,164922,318373,288,548,836,0,0,0,153739,165470,319209,126063,88,2.5
069,Chieti,192081,202371,394452,1695,1711,3406,2116,2132,4248,-421,-421,-842,4026,4039,8065,1599,1817,3416,59,69,128,3827,4007,7834,407,324,731,93,64,157,1357,1530,2887,192651,202962,395613,366,518,884,0,0,0,193017,203480,396497,157359,161,2.5
070,Campobasso,112698,119013,231711,964,867,1831,1285,1176,2461,-321,-309,-630,1828,1972,3800,552,722,1274,31,39,70,1823,2036,3859,187,177,364,50,52,102,351,468,819,112406,118823,231229,322,349,671,0,0,0,112728,119172,231900,91649,115,2.5
071,Foggia,333228,349228,682456,3463,3168,6631,2928,2806,5734,535,362,897,3439,3314,6753,1746,1988,3734,81,68,149,5328,5273,10601,427,334,761,229,138,367,-718,-375,-1093,332095,348052,680147,950,1163,2113,0,0,0,333045,349215,682260,246252,230,2.8
072,Bari,783041,816337,1599378,7854,7416,15270,6317,6310,12627,1537,1106,2643,9558,9064,18622,2423,2810,5233,217,74,291,11609,10798,22407,617,449,1066,829,453,1282,-857,248,-609,781899,814585,1596484,1822,3106,4928,0,0,0,783721,817691,1601412,585554,513,2.7
