Codice,Provincia,Popolazione al 1° Gennaio - Maschi,Popolazione al 1° Gennaio - Femmine,Popolazione al 1° Gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 Dicembre - Maschi,Popolazione al 31 Dicembre - Femmine,Popolazione al 31 Dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
091,Nuoro,79336,82348,161684,691,652,1343,788,695,1483,-97,-43,-140,1025,1021,2046,228,304,532,6,1,7,1265,1298,2563,60,45,105,9,8,17,-75,-25,-100,78766,81957,160723,398,323,721,0,0,0,79164,82280,161444,64987,130,2.5
092,Cagliari,272443,285236,557679,2328,2272,4600,2215,2126,4341,113,146,259,7276,7501,14777,905,1150,2055,197,102,299,7089,7131,14220,289,242,531,337,161,498,663,1219,1882,272353,285272,557625,866,1329,2195,0,0,0,273219,286601,559820,223706,253,2.5
093,Pordenone,150983,156681,307664,1614,1492,3106,1428,1644,3072,186,-152,34,5498,5082,10580,2330,2400,4730,128,45,173,4892,4558,9450,418,321,739,376,257,633,2270,2391,4661,152061,157527,309588,1378,1393,2771,0,0,0,153439,158920,312359,128424,121,2.4
094,Isernia,43485,45642,89127,364,312,676,580,514,1094,-216,-202,-418,772,697,1469,208,284,492,7,1,8,848,750,1598,61,49,110,39,36,75,39,147,186,43110,45425,88535,198,162,360,0,0,0,43308,45587,88895,35661,47,2.5
095,Oristano,82620,85321,167941,614,550,1164,867,823,1690,-253,-273,-526,1394,1504,2898,148,279,427,23,13,36,1485,1739,3224,88,71,159,53,45,98,-61,-59,-120,82032,84409,166441,274,580,854,0,0,0,82306,84989,167295,65306,120,2.5
096,Biella,89765,97726,187491,745,708,1453,1072,1275,2347,-327,-567,-894,3198,3470,6668,447,678,1125,52,27,79,3167,3517,6684,170,129,299,110,62,172,250,467,717,89124,96446,185570,564,1180,1744,0,0,0,89688,97626,187314,84221,98,2.2
097,Lecco,162899,168708,331607,1721,1687,3408,1334,1523,2857,387,164,551,5822,5345,11167,1340,1533,2873,117,44,161,5186,4930,10116,237,202,439,250,134,384,1606,1656,3262,164397,168870,333267,495,1658,2153,0,0,0,164892,170528,335420,137642,151,2.4
098,Lodi,108136,111534,219670,1163,1136,2299,985,1112,2097,178,24,202,4492,4051,8543,1308,1328,2636,148,51,199,3596,3309,6905,174,109,283,305,127,432,1873,1885,3758,109961,112761,222722,226,682,908,0,0,0,110187,113443,223630,91165,71,2.4
099,Rimini,145138,153156,298294,1621,1537,3158,1377,1492,2869,244,45,289,4637,4617,9254,1526,2180,3706,178,106,284,3681,3562,7243,281,233,514,505,309,814,1874,2799,4673,146384,154943,301327,872,1057,1929,0,0,0,147256,156000,303256,128117,170,2.4
100,Prato,120369,125373,245742,1363,1271,2634,1114,1163,2277,249,108,357,2603,2494,5097,1002,1324,2326,291,172,463,2782,2694,5476,108,109,217,1330,928,2258,-324,259,-65,119957,125056,245013,337,684,1021,0,0,0,120294,125740,246034,97171,128,2.5
101,Crotone,84468,88381,172849,940,835,1775,699,622,1321,241,213,454,1308,1372,2680,518,532,1050,15,11,26,1658,1827,3485,100,66,166,18,20,38,65,2,67,84601,88412,173013,173,184,357,0,0,0,84774,88596,173370,63533,67,2.7
102,Vibo Valentia,82706,85051,167757,784,802,1586,784,750,1534,0,52,52,1264,1213,2477,389,481,870,10,7,17,1709,1781,3490,169,137,306,22,21,43,-237,-238,-475,82232,84572,166804,237,293,530,0,0,0,82469,84865,167334,61843,83,2.7
103,Verb-Cus-Ossola,78494,83839,162333,661,608,1269,888,1013,1901,-227,-405,-632,2311,2379,4690,502,774,1276,53,21,74,2195,2359,4554,165,118,283,78,51,129,428,646,1074,78398,83479,161877,297,601,898,0,0,0,78695,84080,162775,73650,115,2.2
104,Olbia-Tempio,75380,75966,151346,818,729,1547,644,583,1227,174,146,320,1986,1874,3860,751,851,1602,99,67,166,1385,1344,2729,82,60,142,62,42,104,1307,1346,2653,76682,77237,153919,179,221,400,0,0,0,76861,77458,154319,66758,55,2.3
105,Ogliastra,28689,29330,58019,260,249,509,272,256,528,-12,-7,-19,540,560,1100,83,103,186,2,0,2,538,586,1124,27,22,49,9,9,18,51,46,97,28595,29322,57917,133,47,180,0,0,0,28728,29369,58097,23833,40,2.4
106,Medio Campidano,51279,52157,103436,383,388,771,540,514,1054,-157,-126,-283,598,585,1183,64,113,177,7,3,10,658,715,1373,61,46,107,10,13,23,-60,-73,-133,50983,51718,102701,79,240,319,0,0,0,51062,51958,103020,38722,47,2.7
107,Carbonia-Iglesias,64161,66695,130856,432,404,836,600,553,1153,-168,-149,-317,1038,1015,2053,91,164,255,9,6,15,1079,1063,2142,66,56,122,29,14,43,-36,52,16,63745,66305,130050,212,293,505,0,0,0,63957,66598,130555,51105,56,2.5
