Regione,Popolazione al 1° Gennaio - Maschi,Popolazione al 1° Gennaio - Femmine,Popolazione al 1° Gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 Dicembre - Maschi,Popolazione al 31 Dicembre - Femmine,Popolazione al 31 Dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
Piemonte                           ,2111322,2241506,4352828,19822,18743,38565,23076,24398,47474,-3254,-5655,-8909,68496,67637,136133,28341,33280,61621,2139,920,3059,67461,66919,134380,2414,1969,4383,2982,1721,4703,26119,31228,57347,2122868,2244792,4367660,11319,22287,33606,0,0,0,2134187,2267079,4401266,1963082,2578,2.2
Valle D'Aosta                      ,61433,63379,124812,663,578,1241,643,631,1274,20,-53,-33,2417,2345,4762,528,689,1217,73,36,109,2321,2294,4615,63,58,121,109,43,152,525,675,1200,61487,63547,125034,491,454,945,0,0,0,61978,64001,125979,58586,90,2.1
Liguria                            ,763406,844472,1607878,6357,5799,12156,9927,11072,20999,-3570,-5273,-8843,18287,19154,37441,5543,7014,12557,1289,651,1940,18100,18898,36998,941,796,1737,1583,833,2416,4495,6292,10787,760550,838312,1598862,3781,7179,10960,0,0,0,764331,845491,1609822,777037,1000,2.1
Lombardia                          ,4660352,4885089,9545441,49701,46579,96280,40807,44658,85465,8894,1921,10815,165111,151611,316722,45239,46098,91337,6585,3368,9953,156784,145891,302675,6926,5722,12648,10984,5555,16539,42241,43909,86150,4695912,4894174,9590086,15575,36745,52320,0,0,0,4711487,4930919,9642406,4132818,3425,2.3
Trentino Alto Adige                ,489342,505361,994703,5552,5128,10680,4039,4261,8300,1513,867,2380,12638,12477,25115,5004,6047,11051,591,227,818,11656,11651,23307,1062,1028,2090,927,476,1403,4588,5596,10184,491061,506531,997592,4382,5293,9675,0,0,0,495443,511824,1007267,413268,797,2.4
Veneto                             ,2338057,2435497,4773554,24446,23187,47633,20997,22504,43501,3449,683,4132,71936,69324,141260,28071,30809,58880,3134,1321,4455,68585,66985,135570,3781,3259,7040,4836,2495,7331,25939,28715,54654,2355066,2437581,4792647,12379,27314,39693,0,0,0,2367445,2464895,4832340,1950889,2488,2.5
Friuli Venezia Giulia              ,586544,626058,1212602,5381,5176,10557,6278,7305,13583,-897,-2129,-3026,18171,17271,35442,5886,6398,12284,498,196,694,16463,15956,32419,1119,900,2019,1023,474,1497,5950,6535,12485,586762,624143,1210905,4835,6321,11156,0,0,0,591597,630464,1222061,543541,687,2.2
Emilia Romagna                     ,2054906,2168358,4223264,20959,19559,40518,22325,24145,46470,-1366,-4586,-5952,69390,64709,134099,22146,28139,50285,3403,1471,4874,60551,57285,117836,2394,2067,4461,5597,2874,8471,26397,32093,58490,2069302,2179410,4248712,10635,16455,27090,0,0,0,2079937,2195865,4275802,1879750,2339,2.3
Marche                             ,748066,788032,1536098,7236,6828,14064,7977,8013,15990,-741,-1185,-1926,19293,18181,37474,7711,9772,17483,660,439,1099,17118,16435,33553,892,773,1665,1187,760,1947,8467,10424,18891,753367,792956,1546323,2425,4315,6740,0,0,0,755792,797271,1553063,619351,801,2.5
Toscana                            ,1756090,1882121,3638211,16679,15579,32258,19856,21103,40959,-3177,-5524,-8701,47052,45667,92719,19162,25579,44741,4110,3002,7112,44352,43435,87787,1871,1728,3599,3546,2102,5648,20555,26983,47538,1766295,1892530,3658825,7173,11050,18223,0,0,0,1773468,1903580,3677048,1563779,1910,2.3
