Regione,Popolazione al 1° gennaio - Maschi,Popolazione al 1° gennaio - Femmine,Popolazione al 1° gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 dicembre - Maschi,Popolazione al 31 dicembre - Femmine,Popolazione al 31 dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
Umbria,423559,459656,883215,3830,3766,7596,5040,5378,10418,-1210,-1612,-2822,9655,10202,19857,2454,3203,5657,1232,1263,2495,9088,9935,19023,965,895,1860,671,609,1280,2617,3229,5846,422656,458551,881207,2310,2722,5032,0,0,0,424966,461273,886239,386970,500,2.3
Lazio,2635689,2864333,5500022,27262,25771,53033,26974,28940,55914,288,-3169,-2881,73385,74810,148195,27639,24853,52492,10685,8516,19201,64262,64856,129118,4079,3578,7657,12420,10558,22978,30948,29187,60135,2647596,2864862,5512458,19329,25489,44818,0,0,0,2666925,2890351,5557276,2648311,3549,2.1
Campania,2794720,2969704,5764424,28222,26617,54839,25858,26451,52309,2364,166,2530,69235,68047,137282,10976,10441,21417,8522,8086,16608,81442,77264,158706,2691,2139,4830,4735,4240,8975,-135,2931,2796,2792071,2964311,5756382,4878,8490,13368,0,0,0,2796949,2972801,5769750,2155772,1681,2.7
Abruzzo,633941,672475,1306416,5753,5435,11188,7088,7434,14522,-1335,-1999,-3334,16126,16484,32610,2924,3653,6577,3307,2916,6223,14865,16060,30925,1162,1007,2169,1547,1344,2891,4783,4642,9425,635038,672844,1307882,2351,2274,4625,0,0,0,637389,675118,1312507,562624,480,2.3
Molise,152547,160598,313145,1209,1123,2332,1784,1843,3627,-575,-720,-1295,3378,3102,6480,494,616,1110,809,724,1533,3222,3325,6547,286,257,543,280,262,542,893,598,1491,152420,160011,312431,445,465,910,0,0,0,152865,160476,313341,131059,161,2.4
Puglia,1962375,2087697,4050072,17992,16860,34852,17997,18550,36547,-5,-1690,-1695,27293,26807,54100,6304,6144,12448,6232,5239,11471,33996,32347,66343,2421,1905,4326,2741,2183,4924,671,1755,2426,1958454,2081948,4040402,4587,5814,10401,0,0,0,1963041,2087762,4050803,1577443,1193,2.6
Basilicata,282546,295016,577562,2359,2121,4480,3014,2987,6001,-655,-866,-1521,3798,3537,7335,942,1046,1988,515,531,1046,4356,4574,8930,437,358,795,247,244,491,215,-62,153,281340,293340,574680,766,748,1514,0,0,0,282106,294088,576194,232984,242,2.5
Calabria,953767,1004651,1958418,8838,8192,17030,9653,9641,19294,-815,-1449,-2264,17158,17007,34165,4809,4281,9090,3461,3182,6643,21063,21246,42309,1750,1280,3030,1308,1167,2475,1307,777,2084,951841,1000935,1952776,2418,3044,5462,0,0,0,954259,1003979,1958238,797776,915,2.4
Sicilia,2417426,2582428,4999854,23700,22614,46314,25068,26175,51243,-1368,-3561,-4929,50113,49474,99587,8515,7647,16162,7685,6577,14262,55576,54536,110112,3763,3023,6786,4345,3761,8106,2629,2378,5007,2410852,2572416,4983268,7835,8829,16664,0,0,0,2418687,2581245,4999932,2031879,2752,2.4
Sardegna,800451,837395,1637846,6476,5968,12444,8090,7536,15626,-1614,-1568,-3182,17933,18123,36056,2196,2713,4909,2966,2398,5364,17919,18729,36648,1246,957,2203,918,845,1763,3012,2703,5715,799244,835196,1634440,2605,3334,5939,0,0,0,801849,838530,1640379,710828,844,2.3
