Regione,Popolazione al 1° gennaio - Maschi,Popolazione al 1° gennaio - Femmine,Popolazione al 1° gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 dicembre - Maschi,Popolazione al 31 dicembre - Femmine,Popolazione al 31 dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
Piemonte,2101852,2255811,4357663,19025,18042,37067,24048,26459,50507,-5023,-8417,-13440,72843,74192,147035,12440,14575,27015,9594,7456,17050,69680,71038,140718,4363,3753,8116,7087,5350,12437,13747,16082,29829,2098157,2242392,4340549,12419,21084,33503,0,0,0,2110576,2263476,4374052,2023538,2680,2.2
Valle D'Aosta,61775,64845,126620,594,583,1177,595,688,1283,-1,-105,-106,2781,2776,5557,277,426,703,611,483,1094,2731,2660,5391,125,124,249,196,188,384,617,713,1330,61964,65014,126978,427,439,866,0,0,0,62391,65453,127844,61343,100,2.1
Liguria,740458,826881,1567339,5976,5607,11583,10129,11607,21736,-4153,-6000,-10153,21369,22156,43525,4914,5148,10062,2851,2011,4862,20325,21762,42087,1707,1458,3165,3114,2142,5256,3988,3953,7941,736374,817677,1554051,3919,7157,11076,0,0,0,740293,824834,1565127,790586,930,2
Lombardia,4711292,4989589,9700881,47100,44698,91798,44438,49319,93757,2662,-4621,-1959,161879,157544,319423,35871,34293,70164,36743,26356,63099,153822,150176,303998,12206,10379,22585,17522,12978,30500,50943,44660,95603,4743669,4988394,9732063,21228,41234,62462,0,0,0,4764897,5029628,9794525,4409655,3317,2.2
Trentino Alto Adige,504239,525346,1029585,5429,5138,10567,4149,4695,8844,1280,443,1723,14422,15204,29626,2960,3452,6412,2801,2391,5192,12764,13773,26537,1851,1668,3519,1337,1211,2548,4231,4395,8626,503586,523630,1027216,6164,6554,12718,0,0,0,509750,530184,1039934,441380,738,2.3
Veneto,2362989,2490668,4853657,22815,21588,44403,22263,24777,47040,552,-3189,-2637,67522,70752,138274,12830,15440,28270,15832,12778,28610,66453,69923,136376,6406,5965,12371,8929,6742,15671,14396,16340,30736,2366756,2478459,4845215,11181,25360,36541,0,0,0,2377937,2503819,4881756,2059104,2337,2.3
Friuli Venezia Giulia,587449,630331,1217780,5024,4800,9824,6769,7657,14426,-1745,-2857,-4602,17234,17513,34747,3034,3611,6645,3182,2321,5503,15940,16199,32139,1915,1554,3469,1496,1109,2605,4099,4583,8682,585857,625845,1211702,3946,6212,10158,0,0,0,589803,632057,1221860,562676,567,2.2
Emilia Romagna,2094766,2246474,4341240,20358,18979,39337,23420,25797,49217,-3062,-6818,-9880,65072,64848,129920,15328,16917,32245,18436,13812,32248,60780,61172,121952,4485,4041,8526,10313,7495,17808,23258,22869,46127,2104571,2247099,4351670,10391,15426,25817,0,0,0,2114962,2262525,4377487,1998867,2391,2.2
Marche,745469,795219,1540688,6776,6420,13196,8274,8842,17116,-1498,-2422,-3920,17897,18642,36539,4071,5445,9516,3472,2828,6300,17821,18716,36537,1638,1520,3158,2317,1956,4273,3664,4723,8387,745526,793393,1538919,2109,4127,6236,0,0,0,747635,797520,1545155,644070,699,2.4
Toscana,1759289,1908491,3667780,15875,15251,31126,20604,22852,43456,-4729,-7601,-12330,52629,54201,106830,12618,15272,27890,12174,9977,22151,48773,50390,99163,3495,3364,6859,7396,6075,13471,17757,19621,37378,1765012,1910061,3675073,7305,10450,17755,0,0,0,1772317,1920511,3692828,1645748,1832,2.2
