Regione,Popolazione al 1° Gennaio - Maschi,Popolazione al 1° Gennaio - Femmine,Popolazione al 1° Gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 Dicembre - Maschi,Popolazione al 31 Dicembre - Femmine,Popolazione al 31 Dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
Piemonte,2149373,2283198,4432571,20096,19027,39123,23792,25975,49767,-3696,-6948,-10644,62986,63919,126905,15607,19547,35154,1795,770,2565,61622,62704,124326,3298,2827,6125,6319,3551,9870,9149,15154,24303,2143177,2269677,4412854,11649,21727,33376,0,0,0,2154826,2291404,4446230,1996684,2633,2.21
Valle D'Aosta,62451,64614,127065,678,630,1308,641,631,1272,37,-1,36,2516,2634,5150,314,463,777,52,25,77,2449,2475,4924,89,90,179,89,47,136,255,510,765,62269,64688,126957,474,435,909,0,0,0,62743,65123,127866,59381,96,2.14
Liguria,767057,848007,1615064,6221,6108,12329,10281,11548,21829,-4060,-5440,-9500,17817,18732,36549,5973,6638,12611,1159,589,1748,16730,17652,34382,1115,964,2079,2508,1517,4025,4596,5826,10422,763956,841344,1605300,3637,7049,10686,0,0,0,767593,848393,1615986,785469,974,2.04
Lombardia,4762370,4980306,9742676,50824,47968,98792,42684,46883,89567,8140,1085,9225,142496,137127,279623,42359,48028,90387,4936,2268,7204,135471,130794,266265,8669,7113,15782,13798,7129,20927,31853,42387,74240,4787062,4988339,9775401,15301,35439,50740,0,0,0,4802363,5023778,9826141,4249155,3419,2.3
Trentino Alto Adige,500811,517846,1018657,5425,5163,10588,4106,4315,8421,1319,848,2167,12438,12991,25429,3650,4922,8572,442,179,621,11225,11917,23142,1287,1204,2491,983,570,1553,3035,4401,7436,500715,517722,1018437,4450,5373,9823,0,0,0,505165,523095,1028260,425940,793,2.39
Veneto,2392663,2492885,4885548,24652,23030,47682,21426,22956,44382,3226,74,3300,62242,64016,126258,18488,21694,40182,2690,1345,4035,60881,63082,123963,5120,4379,9499,8587,4836,13423,8832,14758,23590,2392796,2481023,4873819,11925,26694,38619,0,0,0,2404721,2507717,4912438,2007146,2412,2.43
Friuli Venezia Giulia,596265,634671,1230936,5337,5131,10468,6657,7549,14206,-1320,-2418,-3738,16275,16339,32614,4440,5048,9488,418,223,641,15283,15192,30475,1560,1328,2888,1660,839,2499,2630,4251,6881,593285,630401,1223686,4290,6103,10393,0,0,0,597575,636504,1234079,555524,663,2.2
Emilia Romagna,2109482,2228497,4337979,21658,20459,42117,22781,25031,47812,-1123,-4572,-5695,61000,60249,121249,20664,25950,46614,2972,1460,4432,55789,54491,110280,3237,2889,6126,7003,3735,10738,18607,26544,45151,2117026,2234832,4351858,9940,15637,25577,0,0,0,2126966,2250469,4377435,1939869,2337,2.24
Marche,763741,805837,1569578,7462,7158,14620,8083,8274,16357,-621,-1116,-1737,17363,17516,34879,5835,7895,13730,686,408,1094,16841,16944,33785,1499,1282,2781,2002,1300,3302,3542,6293,9835,764492,806786,1571278,2170,4228,6398,0,0,0,766662,811014,1577676,638005,793,2.46
Toscana,1787668,1920150,3707818,16693,15687,32380,20053,22057,42110,-3360,-6370,-9730,45295,46610,91905,15206,20339,35545,2299,1305,3604,41748,43029,84777,2468,2419,4887,5657,3691,9348,12927,19115,32042,1790111,1922287,3712398,7124,10608,17732,0,0,0,1797235,1932895,3730130,1601393,1865,2.32
Umbria,431313,462909,894222,4113,3766,7879,4837,5012,9849,-724,-1246,-1970,8847,9284,18131,3605,5375,8980,270,134,404,7892,8525,16417,774,761,1535,587,438,1025,3469,5069,8538,432111,463917,896028,1947,2815,4762,0,0,0,434058,466732,900790,373960,599,2.4
Lazio,2703994,2922716,5626710,28354,26347,54701,26071,27271,53342,2283,-924,1359,54804,56043,110847,27737,29042,56779,2259,1894,4153,52412,52689,105101,3206,2854,6060,4034,2785,6819,25148,28651,53799,2710866,2922466,5633332,20559,27977,48536,0,0,0,2731425,2950443,5681868,2318762,3565,2.43
Campania,2820078,2992884,5812962,30539,29107,59646,25038,25196,50234,5501,3911,9412,61483,59772,121255,8882,11821,20703,1732,1418,3150,68577,67028,135605,2169,1801,3970,1995,1250,3245,-644,2932,2288,2819687,2989953,5809640,5248,9774,15022,0,0,0,2824935,2999727,5824662,2089526,1781,2.78
Abruzzo,648680,685995,1334675,5859,5543,11402,7203,7394,14597,-1344,-1851,-3195,13885,14223,28108,3984,5100,9084,316,192,508,12814,13892,26706,963,823,1786,992,798,1790,3416,4002,7418,649000,686081,1335081,1752,2065,3817,0,0,0,650752,688146,1338898,538761,488,2.48
Molise,156036,164759,320795,1227,1133,2360,1710,1764,3474,-483,-631,-1114,2706,2685,5391,639,746,1385,26,12,38,2742,2873,5615,218,191,409,129,113,242,282,266,548,155320,163892,319212,515,502,1017,0,0,0,155835,164394,320229,128692,160,2.48
Puglia,1979254,2100448,4079702,19592,18403,37995,17661,17781,35442,1931,622,2553,25449,24923,50372,5986,7452,13438,792,424,1216,29180,28544,57724,1964,1448,3412,1366,744,2110,-283,2063,1780,1975705,2096404,4072109,5197,6729,11926,0,0,0,1980902,2103133,4084035,1530681,1318,2.66
Basilicata,289275,301326,590601,2441,2288,4729,2985,2686,5671,-544,-398,-942,3036,3020,6056,1017,1376,2393,42,31,73,4060,4289,8349,341,305,646,151,156,307,-457,-323,-780,287260,299592,586852,1014,1013,2027,0,0,0,288274,300605,588879,228728,282,2.57
Calabria,978789,1029920,2008709,9319,8694,18013,9529,9277,18806,-210,-583,-793,15881,15938,31819,5166,6017,11183,274,178,452,18445,19179,37624,1419,1104,2523,1033,860,1893,424,990,1414,976665,1026989,2003654,2338,3338,5676,0,0,0,979003,1030327,2009330,773383,907,2.59
Sicilia,2433605,2604194,5037799,25236,23981,49217,24463,25066,49529,773,-1085,-312,43217,42319,85536,10162,10465,20627,991,506,1497,46175,45871,92046,3258,2498,5756,2820,1533,4353,2117,3388,5505,2428708,2597632,5026340,7787,8865,16652,0,0,0,2436495,2606497,5042992,1982103,2475,2.54
Sardegna,819518,851483,1671001,7041,6467,13508,7854,7142,14996,-813,-675,-1488,15498,15729,31227,2260,3048,5308,472,255,727,15647,16268,31915,945,718,1663,468,325,793,1170,1721,2891,817427,849133,1666560,2448,3396,5844,0,0,0,819875,852529,1672404,681880,859,2.44
