Regione,Popolazione al 1° gennaio - Maschi,Popolazione al 1° gennaio - Femmine,Popolazione al 1° gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 dicembre - Maschi,Popolazione al 31 dicembre - Femmine,Popolazione al 31 dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
Piemonte,2110576,2263476,4374052,18296,17358,35654,23937,26140,50077,-5641,-8782,-14423,63933,64794,128727,9700,11518,21218,50333,39968,90301,62530,63678,126208,5309,4681,9990,14492,12387,26879,41635,35534,77169,2133986,2269234,4403220,12584,20994,33578,0,0,0,2146570,2290228,4436798,2015733,2691,2.18
Valle D'Aosta,62391,65453,127844,506,553,1059,628,659,1287,-122,-106,-228,2524,2563,5087,245,303,548,552,417,969,2312,2340,4652,158,150,308,367,302,669,484,491,975,62329,65398,127727,424,440,864,0,0,0,62753,65838,128591,61390,103,2.08
Liguria,740293,824834,1565127,5695,5297,10992,10205,11476,21681,-4510,-6179,-10689,19200,19496,38696,4012,4285,8297,25831,20653,46484,18868,19673,38541,2008,1711,3719,7622,6094,13716,20545,16956,37501,752422,828426,1580848,3906,7185,11091,0,0,0,756328,835611,1591939,783483,924,2.02
Lombardia,4764897,5029628,9794525,45700,42710,88410,43328,47936,91264,2372,-5226,-2854,145777,141982,287759,33520,33708,67228,111605,87216,198821,137853,135298,273151,14227,12210,26437,39813,32681,72494,99009,82717,181726,4849222,5070334,9919556,17056,36785,53841,0,0,0,4866278,5107119,9973397,4396094,3352,2.26
Trentino Alto Adige,509750,530184,1039934,5395,4999,10394,4250,4642,8892,1145,357,1502,13441,14096,27537,2745,3238,5983,5430,4266,9696,11764,12678,24442,1857,1735,3592,2577,2090,4667,5418,5097,10515,511313,529542,1040855,5000,6096,11096,0,0,0,516313,535638,1051951,443007,718,2.35
Veneto,2377937,2503819,4881756,21487,20486,41973,22045,24292,46337,-558,-3806,-4364,58614,62256,120870,11022,14334,25356,37727,30294,68021,58674,62316,120990,7261,6505,13766,16772,13293,30065,24656,24770,49426,2390443,2499831,4890274,11592,24952,36544,0,0,0,2402035,2524783,4926818,2048851,2309,2.39
Friuli Venezia Giulia,589803,632057,1221860,4872,4536,9408,6593,7629,14222,-1721,-3093,-4814,15217,15767,30984,2842,3345,6187,7778,6038,13816,14089,14889,28978,1845,1682,3527,3295,2870,6165,6608,5709,12317,591002,628580,1219582,3688,6093,9781,0,0,0,594690,634673,1229363,561120,550,2.17
Emilia Romagna,2114962,2262525,4377487,19426,18631,38057,22485,25278,47763,-3059,-6647,-9706,57981,58692,116673,12664,15507,28171,48172,37222,85394,54418,54759,109177,5310,4908,10218,17381,14889,32270,41708,36865,78573,2143126,2277103,4420229,10485,15640,26125,0,0,0,2153611,2292743,4446354,1989082,2402,2.22
Marche,747635,797520,1545155,6598,6035,12633,8223,8647,16870,-1625,-2612,-4237,15110,16023,31133,3275,4443,7718,10592,9059,19651,15552,16781,32333,2020,1937,3957,5371,4621,9992,6034,6186,12220,749671,796820,1546491,2373,4274,6647,0,0,0,752044,801094,1553138,644763,687,2.4
Toscana,1772317,1920511,3692828,15187,14292,29479,19963,22222,42185,-4776,-7930,-12706,45230,46620,91850,10282,12885,23167,45993,40762,86755,42580,44285,86865,3654,3595,7249,19687,17582,37269,35584,34805,70389,1795903,1937099,3733002,7222,10287,17509,0,0,0,1803125,1947386,3750511,1638328,1733,2.28
