Regione,Popolazione al 1° Gennaio - Maschi,Popolazione al 1° Gennaio - Femmine,Popolazione al 1° Gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 Dicembre - Maschi,Popolazione al 31 Dicembre - Femmine,Popolazione al 31 Dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
Piemonte,2134187,2267079,4401266,20379,19172,39551,23481,25829,49310,-3102,-6657,-9759,67648,67503,135151,21168,24441,45609,3001,1771,4772,65616,65861,131477,3256,2623,5879,4657,2455,7112,18288,22776,41064,2137880,2261160,4399040,11493,22038,33531,0,0,0,2149373,2283198,4432571,1983902,2613,2.2
Valle D'Aosta,61978,64001,125979,671,625,1296,589,666,1255,82,-41,41,2528,2347,4875,448,640,1088,47,23,70,2425,2202,4627,90,98,188,117,56,173,391,654,1045,61952,64185,126137,499,429,928,0,0,0,62451,64614,127065,59053,101,2.1
Liguria,764331,845491,1609822,6317,6133,12450,10067,11604,21671,-3750,-5471,-9221,19089,19657,38746,7196,8515,15711,1168,538,1706,18071,18764,36835,1101,927,2028,1805,1032,2837,6476,7987,14463,763250,840789,1604039,3807,7218,11025,0,0,0,767057,848007,1615064,783301,980,2
Lombardia,4711487,4930919,9642406,50569,48103,98672,42792,46963,89755,7777,1140,8917,159525,149213,308738,46254,49154,95408,6129,2852,8981,148967,140340,289307,8196,6553,14749,11639,6079,17718,43106,48247,91353,4747344,4944599,9691943,15026,35707,50733,0,0,0,4762370,4980306,9742676,4203176,3416,2.3
Trentino Alto Adige,495443,511824,1007267,5624,5261,10885,4190,4348,8538,1434,913,2347,12538,12789,25327,4341,5598,9939,540,215,755,11381,11797,23178,1227,1229,2456,877,467,1344,3934,5109,9043,496464,512500,1008964,4347,5346,9693,0,0,0,500811,517846,1018657,420018,795,2.4
Veneto,2367445,2464895,4832340,24935,23680,48615,21755,23023,44778,3180,657,3837,68185,67483,135668,27233,31032,58265,2831,1479,4310,64967,65462,130429,4953,3958,8911,6291,3241,9532,22038,27333,49371,2380463,2466012,4846475,12200,26873,39073,0,0,0,2392663,2492885,4885548,1985191,2440,2.4
Friuli Venezia Giulia,591597,630464,1222061,5443,5058,10501,6735,7635,14370,-1292,-2577,-3869,17700,17371,35071,6313,6690,13003,460,210,670,16027,15784,31811,1442,1113,2555,1044,590,1634,5960,6784,12744,591757,628450,1220207,4508,6221,10729,0,0,0,596265,634671,1230936,551051,670,2.2
Emilia Romagna,2079937,2195865,4275802,21632,20283,41915,22764,24901,47665,-1132,-4618,-5750,69224,66392,135616,26321,31531,57852,3213,1800,5013,58938,56686,115624,3190,2758,5948,5953,3029,8982,30677,37250,67927,2099382,2212665,4312047,10100,15832,25932,0,0,0,2109482,2228497,4337979,1915435,2306,2.3
Marche,755792,797271,1553063,7533,7104,14637,8116,8321,16437,-583,-1217,-1800,19567,18867,38434,8059,9688,17747,650,379,1029,17057,17152,34209,1274,1105,2379,1413,894,2307,8532,9783,18315,761468,801635,1563103,2273,4202,6475,0,0,0,763741,805837,1569578,630955,791,2.5
Toscana,1773468,1903580,3677048,17416,16194,33610,20172,22050,42222,-2756,-5856,-8612,47048,46859,93907,18365,22718,41083,2005,1107,3112,42973,42882,85855,2256,2099,4355,5233,3277,8510,16956,22426,39382,1780588,1909327,3689915,7080,10823,17903,0,0,0,1787668,1920150,3707818,1582908,1871,2.3
