Regione,Popolazione al 1° Gennaio - Maschi,Popolazione al 1° Gennaio - Femmine,Popolazione al 1° Gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 Dicembre - Maschi,Popolazione al 31 Dicembre - Femmine,Popolazione al 31 Dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
Umbria,427042,457408,884450,4221,4050,8271,4987,5215,10202,-766,-1165,-1931,9166,9283,18449,4939,6859,11798,271,142,413,8077,8478,16555,697,724,1421,565,416,981,5037,6666,11703,429489,460058,889547,1824,2851,4675,0,0,0,431313,462909,894222,367914,590,2.4
Lazio,2672426,2888591,5561017,28926,27829,56755,25433,26270,51703,3493,1559,5052,63614,64976,128590,32697,34675,67372,3023,2320,5343,63704,63615,127319,3598,3141,6739,3957,2649,6606,28075,32566,60641,2683822,2894661,5578483,20172,28055,48227,0,0,0,2703994,2922716,5626710,2282342,3551,2.4
Campania,2820477,2990913,5811390,31088,29654,60742,24892,24669,49561,6196,4985,11181,63211,61722,124933,10215,13965,24180,1343,1013,2356,76575,74477,151052,2945,3246,6191,1844,1991,3835,-6595,-3014,-9609,2814887,2982862,5797749,5191,10022,15213,0,0,0,2820078,2992884,5812962,2073576,1689,2.8
Abruzzo,643756,680231,1323987,6045,5698,11743,6907,6813,13720,-862,-1115,-1977,14478,14729,29207,5575,6607,12182,882,809,1691,13390,13959,27349,989,784,1773,770,523,1293,5786,6879,12665,647030,683904,1330934,1650,2091,3741,0,0,0,648680,685995,1334675,531163,483,2.5
Molise,156183,164655,320838,1328,1179,2507,1865,1690,3555,-537,-511,-1048,2600,2669,5269,760,1006,1766,38,40,78,2671,2786,5457,248,226,474,89,88,177,390,615,1005,155516,164248,319764,520,511,1031,0,0,0,156036,164759,320795,127310,162,2.5
Puglia,1978216,2098330,4076546,19808,18476,38284,17194,16986,34180,2614,1490,4104,25584,24958,50542,6731,7962,14693,900,480,1380,31335,30460,61795,1934,1481,3415,1522,831,2353,-1576,628,-948,1974154,2093657,4067811,5100,6791,11891,0,0,0,1979254,2100448,4079702,1513030,1320,2.7
Basilicata,289656,301345,591001,2567,2356,4923,2878,2707,5585,-311,-351,-662,2939,2979,5918,1224,1665,2889,421,380,801,4089,4214,8303,431,342,773,134,136,270,-70,332,262,288292,300332,588624,983,994,1977,0,0,0,289275,301326,590601,226657,280,2.6
Calabria,978731,1028976,2007707,9097,8898,17995,9288,9095,18383,-191,-197,-388,15277,15284,30561,5810,6748,12558,427,257,684,19004,19202,38206,1602,1220,2822,659,726,1385,249,1141,1390,976430,1026654,2003084,2359,3266,5625,0,0,0,978789,1029920,2008709,763280,902,2.6
Sicilia,2430272,2599411,5029683,25631,24206,49837,23906,23856,47762,1725,350,2075,44018,43295,87313,12164,13105,25269,907,413,1320,49914,48379,98293,3467,2916,6383,2100,1085,3185,1608,4433,6041,2424965,2594535,5019500,8640,9659,18299,0,0,0,2433605,2604194,5037799,1968412,2399,2.6
Sardegna,817323,848294,1665617,6908,6562,13470,7472,7002,14474,-564,-440,-1004,16541,16784,33325,2681,3619,6300,1049,833,1882,16086,16585,32671,847,661,1508,579,361,940,2759,3629,6388,816840,847720,1664560,2678,3763,6441,0,0,0,819518,851483,1671001,672526,858,2.5
