"Codice","SESSO","ETA","occ","Regione"
2,2,43,824,"VALLE DAOSTA"
2,1,65,191,"VALLE DAOSTA"
2,1,28,531.33333333,"VALLE DAOSTA"
2,2,23,283.16666667,"VALLE DAOSTA"
2,1,37,742.66666667,"VALLE DAOSTA"
2,2,56,568.41666667,"VALLE DAOSTA"
2,2,50,795.75,"VALLE DAOSTA"
2,1,64,193.16666667,"VALLE DAOSTA"
2,1,58,502,"VALLE DAOSTA"
2,1,29,546.83333333,"VALLE DAOSTA"
2,1,15,4.1666666667,"VALLE DAOSTA"
2,2,55,593.25,"VALLE DAOSTA"
2,1,40,889.75,"VALLE DAOSTA"
2,2,51,753.83333333,"VALLE DAOSTA"
2,2,45,817.83333333,"VALLE DAOSTA"
2,1,59,494.16666667,"VALLE DAOSTA"
2,2,31,516.33333333,"VALLE DAOSTA"
2,2,25,360.58333333,"VALLE DAOSTA"
2,1,47,969.75,"VALLE DAOSTA"
2,1,41,853,"VALLE DAOSTA"
2,2,44,890.33333333,"VALLE DAOSTA"
2,2,15,3.8333333333,"VALLE DAOSTA"
2,1,60,418.91666667,"VALLE DAOSTA"
2,2,32,491.58333333,"VALLE DAOSTA"
2,1,46,951.16666667,"VALLE DAOSTA"
2,2,57,510.58333333,"VALLE DAOSTA"
2,1,42,893.91666667,"VALLE DAOSTA"
2,2,53,643.16666667,"VALLE DAOSTA"
2,2,16,7.5,"VALLE DAOSTA"
2,1,30,587.66666667,"VALLE DAOSTA"
2,1,16,13.666666667,"VALLE DAOSTA"
2,2,27,428.41666667,"VALLE DAOSTA"
2,2,58,494.25,"VALLE DAOSTA"
2,2,52,702.33333333,"VALLE DAOSTA"
2,2,46,857.75,"VALLE DAOSTA"
2,2,17,31.333333333,"VALLE DAOSTA"
2,1,31,576.08333333,"VALLE DAOSTA"
2,2,26,380.25,"VALLE DAOSTA"
2,1,48,950.83333333,"VALLE DAOSTA"
2,2,59,421.41666667,"VALLE DAOSTA"
2,1,44,970.91666667,"VALLE DAOSTA"
2,2,47,860.08333333,"VALLE DAOSTA"
2,1,61,337.41666667,"VALLE DAOSTA"
2,2,33,487.58333333,"VALLE DAOSTA"
2,1,18,92.416666667,"VALLE DAOSTA"
2,1,49,1008.8333333,"VALLE DAOSTA"
2,1,43,914.41666667,"VALLE DAOSTA"
2,2,54,689.75,"VALLE DAOSTA"
2,2,48,841.75,"VALLE DAOSTA"
2,1,62,256.83333333,"VALLE DAOSTA"
2,1,17,39,"VALLE DAOSTA"
2,2,28,418.75,"VALLE DAOSTA"
2,1,50,932.08333333,"VALLE DAOSTA"
2,2,61,271.58333333,"VALLE DAOSTA"
2,2,63,131.58333333,"VALLE DAOSTA"
2,2,18,49.083333333,"VALLE DAOSTA"
2,1,32,550.75,"VALLE DAOSTA"
2,2,35,604.83333333,"VALLE DAOSTA"
2,2,29,454.5,"VALLE DAOSTA"
2,2,60,337.75,"VALLE DAOSTA"
2,1,45,921.75,"VALLE DAOSTA"
2,2,64,121.66666667,"VALLE DAOSTA"
2,1,23,341.5,"VALLE DAOSTA"
2,2,34,511.33333333,"VALLE DAOSTA"
2,1,19,166.75,"VALLE DAOSTA"
2,2,30,491.25,"VALLE DAOSTA"
2,1,26,454.33333333,"VALLE DAOSTA"
2,1,25,452.75,"VALLE DAOSTA"
2,2,65,98.416666667,"VALLE DAOSTA"
2,1,63,215.33333333,"VALLE DAOSTA"
2,1,21,259.25,"VALLE DAOSTA"
2,1,20,194.41666667,"VALLE DAOSTA"
2,1,51,810,"VALLE DAOSTA"
2,2,62,139.66666667,"VALLE DAOSTA"
2,1,24,396,"VALLE DAOSTA"
2,1,33,653.83333333,"VALLE DAOSTA"
2,2,36,613.66666667,"VALLE DAOSTA"
2,1,27,444.58333333,"VALLE DAOSTA"
2,1,22,324.66666667,"VALLE DAOSTA"
3,1,60,28361.916667,"LOMBARDIA"
