Tipo di indicatore demografico,Sesso,Età,Territorio di origine,Seleziona periodo,Tipo di trasferimento,0
totali cancellati,maschi,65 anni e più,Toscana,2016,estero,270
totali cancellati,maschi,18-39 anni,Toscana,2015,estero,2001
totali cancellati,maschi,18-39 anni,Toscana,2016,estero,2223
totali cancellati,maschi,40-64 anni,Toscana,2015,estero,1181
totali cancellati,maschi,40-64 anni,Toscana,2016,estero,1267
totali cancellati,femmine,fino a 17 anni,Toscana,2015,estero,749
totali cancellati,femmine,fino a 17 anni,Toscana,2016,estero,822
totali cancellati,femmine,65 anni e più,Toscana,2015,estero,328
totali cancellati,femmine,65 anni e più,Toscana,2016,estero,278
totali cancellati,femmine,18-39 anni,Toscana,2015,estero,1776
totali cancellati,femmine,18-39 anni,Toscana,2016,estero,2026
totali cancellati,femmine,40-64 anni,Toscana,2015,estero,1446
totali cancellati,femmine,40-64 anni,Toscana,2016,estero,1480
totali cancellati,maschi,fino a 17 anni,Umbria,2015,in altre regioni,481
totali cancellati,maschi,fino a 17 anni,Umbria,2016,in altre regioni,475
totali cancellati,maschi,65 anni e più,Umbria,2015,in altre regioni,198
totali cancellati,maschi,65 anni e più,Umbria,2016,in altre regioni,226
totali cancellati,maschi,18-39 anni,Umbria,2015,in altre regioni,1390
totali cancellati,maschi,18-39 anni,Umbria,2016,in altre regioni,1388
totali cancellati,maschi,40-64 anni,Umbria,2015,in altre regioni,899
totali cancellati,maschi,40-64 anni,Umbria,2016,in altre regioni,906
totali cancellati,femmine,fino a 17 anni,Umbria,2015,in altre regioni,456
totali cancellati,femmine,fino a 17 anni,Umbria,2016,in altre regioni,457
totali cancellati,femmine,65 anni e più,Umbria,2015,in altre regioni,334
totali cancellati,femmine,65 anni e più,Umbria,2016,in altre regioni,309
totali cancellati,femmine,18-39 anni,Umbria,2015,in altre regioni,1478
totali cancellati,femmine,18-39 anni,Umbria,2016,in altre regioni,1504
totali cancellati,femmine,40-64 anni,Umbria,2015,in altre regioni,831
totali cancellati,femmine,40-64 anni,Umbria,2016,in altre regioni,884
totali cancellati,maschi,fino a 17 anni,Umbria,2015,estero,252
totali cancellati,maschi,fino a 17 anni,Umbria,2016,estero,210
totali cancellati,maschi,65 anni e più,Umbria,2015,estero,72
totali cancellati,maschi,65 anni e più,Umbria,2016,estero,86
totali cancellati,maschi,18-39 anni,Umbria,2015,estero,599
totali cancellati,maschi,18-39 anni,Umbria,2016,estero,589
totali cancellati,maschi,40-64 anni,Umbria,2015,estero,326
totali cancellati,maschi,40-64 anni,Umbria,2016,estero,312
totali cancellati,femmine,fino a 17 anni,Umbria,2015,estero,172
totali cancellati,femmine,fino a 17 anni,Umbria,2016,estero,175
totali cancellati,femmine,65 anni e più,Umbria,2015,estero,95
totali cancellati,femmine,65 anni e più,Umbria,2016,estero,89
totali cancellati,femmine,18-39 anni,Umbria,2015,estero,510
totali cancellati,femmine,18-39 anni,Umbria,2016,estero,538
totali cancellati,femmine,40-64 anni,Umbria,2015,estero,385
totali cancellati,femmine,40-64 anni,Umbria,2016,estero,365
totali cancellati,maschi,fino a 17 anni,Marche,2015,in altre regioni,691
totali cancellati,maschi,fino a 17 anni,Marche,2016,in altre regioni,726
totali cancellati,maschi,65 anni e più,Marche,2015,in altre regioni,252
totali cancellati,maschi,65 anni e più,Marche,2016,in altre regioni,268
totali cancellati,maschi,18-39 anni,Marche,2015,in altre regioni,2011
totali cancellati,maschi,18-39 anni,Marche,2016,in altre regioni,1997
totali cancellati,maschi,40-64 anni,Marche,2015,in altre regioni,1121
totali cancellati,maschi,40-64 anni,Marche,2016,in altre regioni,1276
totali cancellati,femmine,fino a 17 anni,Marche,2015,in altre regioni,701
totali cancellati,femmine,fino a 17 anni,Marche,2016,in altre regioni,680
totali cancellati,femmine,65 anni e più,Marche,2015,in altre regioni,364
totali cancellati,femmine,65 anni e più,Marche,2016,in altre regioni,437
totali cancellati,femmine,18-39 anni,Marche,2015,in altre regioni,2041
totali cancellati,femmine,18-39 anni,Marche,2016,in altre regioni,2176
totali cancellati,femmine,40-64 anni,Marche,2015,in altre regioni,1086
totali cancellati,femmine,40-64 anni,Marche,2016,in altre regioni,1138
totali cancellati,maschi,fino a 17 anni,Marche,2015,estero,454
totali cancellati,maschi,fino a 17 anni,Marche,2016,estero,531
totali cancellati,maschi,65 anni e più,Marche,2015,estero,99
totali cancellati,maschi,65 anni e più,Marche,2016,estero,107
totali cancellati,maschi,18-39 anni,Marche,2015,estero,1036
totali cancellati,maschi,18-39 anni,Marche,2016,estero,1158
totali cancellati,maschi,40-64 anni,Marche,2015,estero,634
totali cancellati,maschi,40-64 anni,Marche,2016,estero,662
totali cancellati,femmine,fino a 17 anni,Marche,2015,estero,457
totali cancellati,femmine,fino a 17 anni,Marche,2016,estero,494
totali cancellati,femmine,65 anni e più,Marche,2015,estero,122
totali cancellati,femmine,65 anni e più,Marche,2016,estero,113
totali cancellati,femmine,18-39 anni,Marche,2015,estero,984
totali cancellati,femmine,18-39 anni,Marche,2016,estero,1078
totali cancellati,femmine,40-64 anni,Marche,2015,estero,681
totali cancellati,femmine,40-64 anni,Marche,2016,estero,619
totali cancellati,maschi,fino a 17 anni,Lazio,2015,in altre regioni,2225
totali cancellati,maschi,fino a 17 anni,Lazio,2016,in altre regioni,2294
totali cancellati,maschi,65 anni e più,Lazio,2015,in altre regioni,1422
totali cancellati,maschi,65 anni e più,Lazio,2016,in altre regioni,1454
totali cancellati,maschi,18-39 anni,Lazio,2015,in altre regioni,6864
totali cancellati,maschi,18-39 anni,Lazio,2016,in altre regioni,7091
totali cancellati,maschi,40-64 anni,Lazio,2015,in altre regioni,4187
totali cancellati,maschi,40-64 anni,Lazio,2016,in altre regioni,4352
totali cancellati,femmine,fino a 17 anni,Lazio,2015,in altre regioni,2063
totali cancellati,femmine,fino a 17 anni,Lazio,2016,in altre regioni,2266
totali cancellati,femmine,65 anni e più,Lazio,2015,in altre regioni,1923
totali cancellati,femmine,65 anni e più,Lazio,2016,in altre regioni,1953
totali cancellati,femmine,18-39 anni,Lazio,2015,in altre regioni,6099
totali cancellati,femmine,18-39 anni,Lazio,2016,in altre regioni,6521
totali cancellati,femmine,40-64 anni,Lazio,2015,in altre regioni,3728
totali cancellati,femmine,40-64 anni,Lazio,2016,in altre regioni,4155
totali cancellati,maschi,fino a 17 anni,Lazio,2015,estero,1203
totali cancellati,maschi,fino a 17 anni,Lazio,2016,estero,1264
totali cancellati,maschi,65 anni e più,Lazio,2015,estero,390
totali cancellati,maschi,65 anni e più,Lazio,2016,estero,451
totali cancellati,maschi,18-39 anni,Lazio,2015,estero,3083
totali cancellati,maschi,18-39 anni,Lazio,2016,estero,3808
totali cancellati,maschi,40-64 anni,Lazio,2015,estero,1998
totali cancellati,maschi,40-64 anni,Lazio,2016,estero,2186
totali cancellati,femmine,fino a 17 anni,Lazio,2015,estero,1122
totali cancellati,femmine,fino a 17 anni,Lazio,2016,estero,1133
totali cancellati,femmine,65 anni e più,Lazio,2015,estero,417
totali cancellati,femmine,65 anni e più,Lazio,2016,estero,370
totali cancellati,femmine,18-39 anni,Lazio,2015,estero,2797
totali cancellati,femmine,18-39 anni,Lazio,2016,estero,3219
totali cancellati,femmine,40-64 anni,Lazio,2015,estero,1549
totali cancellati,femmine,40-64 anni,Lazio,2016,estero,1735
totali cancellati,maschi,fino a 17 anni,Abruzzo,2015,in altre regioni,671
totali cancellati,maschi,fino a 17 anni,Abruzzo,2016,in altre regioni,714
totali cancellati,maschi,65 anni e più,Abruzzo,2015,in altre regioni,326
totali cancellati,maschi,65 anni e più,Abruzzo,2016,in altre regioni,358
totali cancellati,maschi,18-39 anni,Abruzzo,2015,in altre regioni,2274
totali cancellati,maschi,18-39 anni,Abruzzo,2016,in altre regioni,2260
totali cancellati,maschi,40-64 anni,Abruzzo,2015,in altre regioni,1161
totali cancellati,maschi,40-64 anni,Abruzzo,2016,in altre regioni,1193
totali cancellati,femmine,fino a 17 anni,Abruzzo,2015,in altre regioni,628
totali cancellati,femmine,fino a 17 anni,Abruzzo,2016,in altre regioni,618
totali cancellati,femmine,65 anni e più,Abruzzo,2015,in altre regioni,489
totali cancellati,femmine,65 anni e più,Abruzzo,2016,in altre regioni,506
totali cancellati,femmine,18-39 anni,Abruzzo,2015,in altre regioni,2270
totali cancellati,femmine,18-39 anni,Abruzzo,2016,in altre regioni,2354
totali cancellati,femmine,40-64 anni,Abruzzo,2015,in altre regioni,1009
totali cancellati,femmine,40-64 anni,Abruzzo,2016,in altre regioni,1104
totali cancellati,maschi,fino a 17 anni,Abruzzo,2015,estero,261
totali cancellati,maschi,fino a 17 anni,Abruzzo,2016,estero,277
totali cancellati,maschi,65 anni e più,Abruzzo,2015,estero,127
totali cancellati,maschi,65 anni e più,Abruzzo,2016,estero,106
totali cancellati,maschi,18-39 anni,Abruzzo,2015,estero,944
totali cancellati,maschi,18-39 anni,Abruzzo,2016,estero,1156
totali cancellati,maschi,40-64 anni,Abruzzo,2015,estero,448
totali cancellati,maschi,40-64 anni,Abruzzo,2016,estero,456
totali cancellati,femmine,fino a 17 anni,Abruzzo,2015,estero,231
totali cancellati,femmine,fino a 17 anni,Abruzzo,2016,estero,244
totali cancellati,femmine,65 anni e più,Abruzzo,2015,estero,127
totali cancellati,femmine,65 anni e più,Abruzzo,2016,estero,114
totali cancellati,femmine,18-39 anni,Abruzzo,2015,estero,739
totali cancellati,femmine,18-39 anni,Abruzzo,2016,estero,896
totali cancellati,femmine,40-64 anni,Abruzzo,2015,estero,395
totali cancellati,femmine,40-64 anni,Abruzzo,2016,estero,419
totali cancellati,maschi,fino a 17 anni,Molise,2015,in altre regioni,178
totali cancellati,maschi,fino a 17 anni,Molise,2016,in altre regioni,183
totali cancellati,maschi,65 anni e più,Molise,2015,in altre regioni,100
totali cancellati,maschi,65 anni e più,Molise,2016,in altre regioni,119
totali cancellati,maschi,18-39 anni,Molise,2015,in altre regioni,823
totali cancellati,maschi,18-39 anni,Molise,2016,in altre regioni,932
totali cancellati,maschi,40-64 anni,Molise,2015,in altre regioni,353
totali cancellati,maschi,40-64 anni,Molise,2016,in altre regioni,442
totali cancellati,femmine,fino a 17 anni,Molise,2015,in altre regioni,192
totali cancellati,femmine,fino a 17 anni,Molise,2016,in altre regioni,191
totali cancellati,femmine,65 anni e più,Molise,2015,in altre regioni,155
totali cancellati,femmine,65 anni e più,Molise,2016,in altre regioni,141
totali cancellati,femmine,18-39 anni,Molise,2015,in altre regioni,738
totali cancellati,femmine,18-39 anni,Molise,2016,in altre regioni,839
totali cancellati,femmine,40-64 anni,Molise,2015,in altre regioni,309
totali cancellati,femmine,40-64 anni,Molise,2016,in altre regioni,368
totali cancellati,maschi,fino a 17 anni,Molise,2015,estero,50
totali cancellati,maschi,fino a 17 anni,Molise,2016,estero,51
totali cancellati,maschi,65 anni e più,Molise,2015,estero,43
totali cancellati,maschi,65 anni e più,Molise,2016,estero,25
totali cancellati,maschi,18-39 anni,Molise,2015,estero,220
totali cancellati,maschi,18-39 anni,Molise,2016,estero,265
totali cancellati,maschi,40-64 anni,Molise,2015,estero,89
totali cancellati,maschi,40-64 anni,Molise,2016,estero,101
totali cancellati,femmine,fino a 17 anni,Molise,2015,estero,38
totali cancellati,femmine,fino a 17 anni,Molise,2016,estero,48
totali cancellati,femmine,65 anni e più,Molise,2015,estero,44
totali cancellati,femmine,65 anni e più,Molise,2016,estero,28
totali cancellati,femmine,18-39 anni,Molise,2015,estero,149
totali cancellati,femmine,18-39 anni,Molise,2016,estero,199
totali cancellati,femmine,40-64 anni,Molise,2015,estero,79
totali cancellati,femmine,40-64 anni,Molise,2016,estero,85
totali cancellati,maschi,fino a 17 anni,Campania,2015,in altre regioni,2636
totali cancellati,maschi,fino a 17 anni,Campania,2016,in altre regioni,2703
totali cancellati,maschi,65 anni e più,Campania,2015,in altre regioni,1017
totali cancellati,maschi,65 anni e più,Campania,2016,in altre regioni,1086
totali cancellati,maschi,18-39 anni,Campania,2015,in altre regioni,11951
totali cancellati,maschi,18-39 anni,Campania,2016,in altre regioni,11906
totali cancellati,maschi,40-64 anni,Campania,2015,in altre regioni,4027
totali cancellati,maschi,40-64 anni,Campania,2016,in altre regioni,4039
totali cancellati,femmine,fino a 17 anni,Campania,2015,in altre regioni,2645
totali cancellati,femmine,fino a 17 anni,Campania,2016,in altre regioni,2528
totali cancellati,femmine,65 anni e più,Campania,2015,in altre regioni,1470
totali cancellati,femmine,65 anni e più,Campania,2016,in altre regioni,1505
totali cancellati,femmine,18-39 anni,Campania,2015,in altre regioni,9408
totali cancellati,femmine,18-39 anni,Campania,2016,in altre regioni,9491
totali cancellati,femmine,40-64 anni,Campania,2015,in altre regioni,3739
totali cancellati,femmine,40-64 anni,Campania,2016,in altre regioni,3873
totali cancellati,maschi,fino a 17 anni,Campania,2015,estero,602
totali cancellati,maschi,fino a 17 anni,Campania,2016,estero,590
totali cancellati,maschi,65 anni e più,Campania,2015,estero,271
totali cancellati,maschi,65 anni e più,Campania,2016,estero,185
totali cancellati,maschi,18-39 anni,Campania,2015,estero,2635
totali cancellati,maschi,18-39 anni,Campania,2016,estero,3180
totali cancellati,maschi,40-64 anni,Campania,2015,estero,976
totali cancellati,maschi,40-64 anni,Campania,2016,estero,1043
totali cancellati,femmine,fino a 17 anni,Campania,2015,estero,571
totali cancellati,femmine,fino a 17 anni,Campania,2016,estero,506
totali cancellati,femmine,65 anni e più,Campania,2015,estero,253
totali cancellati,femmine,65 anni e più,Campania,2016,estero,189
totali cancellati,femmine,18-39 anni,Campania,2015,estero,1890
totali cancellati,femmine,18-39 anni,Campania,2016,estero,2331
totali cancellati,femmine,40-64 anni,Campania,2015,estero,763
totali cancellati,femmine,40-64 anni,Campania,2016,estero,799
totali cancellati,maschi,fino a 17 anni,Puglia,2015,in altre regioni,1495
totali cancellati,maschi,fino a 17 anni,Puglia,2016,in altre regioni,1476
totali cancellati,maschi,65 anni e più,Puglia,2015,in altre regioni,646
totali cancellati,maschi,65 anni e più,Puglia,2016,in altre regioni,635
totali cancellati,maschi,18-39 anni,Puglia,2015,in altre regioni,6975
totali cancellati,maschi,18-39 anni,Puglia,2016,in altre regioni,7327
totali cancellati,maschi,40-64 anni,Puglia,2015,in altre regioni,2140
totali cancellati,maschi,40-64 anni,Puglia,2016,in altre regioni,2264
totali cancellati,femmine,fino a 17 anni,Puglia,2015,in altre regioni,1378
totali cancellati,femmine,fino a 17 anni,Puglia,2016,in altre regioni,1391
totali cancellati,femmine,65 anni e più,Puglia,2015,in altre regioni,920
totali cancellati,femmine,65 anni e più,Puglia,2016,in altre regioni,968
totali cancellati,femmine,18-39 anni,Puglia,2015,in altre regioni,6406
totali cancellati,femmine,18-39 anni,Puglia,2016,in altre regioni,6548
totali cancellati,femmine,40-64 anni,Puglia,2015,in altre regioni,2122
totali cancellati,femmine,40-64 anni,Puglia,2016,in altre regioni,2270
totali cancellati,maschi,fino a 17 anni,Puglia,2015,estero,469
totali cancellati,maschi,fino a 17 anni,Puglia,2016,estero,530
totali cancellati,maschi,65 anni e più,Puglia,2015,estero,244
totali cancellati,maschi,65 anni e più,Puglia,2016,estero,144
totali cancellati,maschi,18-39 anni,Puglia,2015,estero,2234
totali cancellati,maschi,18-39 anni,Puglia,2016,estero,2582
totali cancellati,maschi,40-64 anni,Puglia,2015,estero,832
totali cancellati,maschi,40-64 anni,Puglia,2016,estero,979
totali cancellati,femmine,fino a 17 anni,Puglia,2015,estero,421
totali cancellati,femmine,fino a 17 anni,Puglia,2016,estero,511
totali cancellati,femmine,65 anni e più,Puglia,2015,estero,223
totali cancellati,femmine,65 anni e più,Puglia,2016,estero,175
totali cancellati,femmine,18-39 anni,Puglia,2015,estero,1588
totali cancellati,femmine,18-39 anni,Puglia,2016,estero,1896
totali cancellati,femmine,40-64 anni,Puglia,2015,estero,760
totali cancellati,femmine,40-64 anni,Puglia,2016,estero,817
totali cancellati,maschi,fino a 17 anni,Basilicata,2015,in altre regioni,279
totali cancellati,maschi,fino a 17 anni,Basilicata,2016,in altre regioni,301
totali cancellati,maschi,65 anni e più,Basilicata,2015,in altre regioni,169
totali cancellati,maschi,65 anni e più,Basilicata,2016,in altre regioni,164
totali cancellati,maschi,18-39 anni,Basilicata,2015,in altre regioni,1327
totali cancellati,maschi,18-39 anni,Basilicata,2016,in altre regioni,1449
totali cancellati,maschi,40-64 anni,Basilicata,2015,in altre regioni,464
totali cancellati,maschi,40-64 anni,Basilicata,2016,in altre regioni,590
totali cancellati,femmine,fino a 17 anni,Basilicata,2015,in altre regioni,270
totali cancellati,femmine,fino a 17 anni,Basilicata,2016,in altre regioni,293
totali cancellati,femmine,65 anni e più,Basilicata,2015,in altre regioni,260
totali cancellati,femmine,65 anni e più,Basilicata,2016,in altre regioni,258
totali cancellati,femmine,18-39 anni,Basilicata,2015,in altre regioni,1247
totali cancellati,femmine,18-39 anni,Basilicata,2016,in altre regioni,1402
totali cancellati,femmine,40-64 anni,Basilicata,2015,in altre regioni,432
totali cancellati,femmine,40-64 anni,Basilicata,2016,in altre regioni,533
totali cancellati,maschi,fino a 17 anni,Basilicata,2015,estero,65
totali cancellati,maschi,fino a 17 anni,Basilicata,2016,estero,67
totali cancellati,maschi,65 anni e più,Basilicata,2015,estero,34
totali cancellati,maschi,65 anni e più,Basilicata,2016,estero,25
totali cancellati,maschi,18-39 anni,Basilicata,2015,estero,289
totali cancellati,maschi,18-39 anni,Basilicata,2016,estero,381
totali cancellati,maschi,40-64 anni,Basilicata,2015,estero,115
totali cancellati,maschi,40-64 anni,Basilicata,2016,estero,138
totali cancellati,femmine,fino a 17 anni,Basilicata,2015,estero,46
totali cancellati,femmine,fino a 17 anni,Basilicata,2016,estero,47
totali cancellati,femmine,65 anni e più,Basilicata,2015,estero,35
totali cancellati,femmine,65 anni e più,Basilicata,2016,estero,31
totali cancellati,femmine,18-39 anni,Basilicata,2015,estero,192
totali cancellati,femmine,18-39 anni,Basilicata,2016,estero,235
totali cancellati,femmine,40-64 anni,Basilicata,2015,estero,102
totali cancellati,femmine,40-64 anni,Basilicata,2016,estero,128
totali cancellati,maschi,fino a 17 anni,Calabria,2015,in altre regioni,1191
totali cancellati,maschi,fino a 17 anni,Calabria,2016,in altre regioni,1065
totali cancellati,maschi,65 anni e più,Calabria,2015,in altre regioni,541
totali cancellati,maschi,65 anni e più,Calabria,2016,in altre regioni,556
totali cancellati,maschi,18-39 anni,Calabria,2015,in altre regioni,4508
totali cancellati,maschi,18-39 anni,Calabria,2016,in altre regioni,4756
totali cancellati,maschi,40-64 anni,Calabria,2015,in altre regioni,1654
totali cancellati,maschi,40-64 anni,Calabria,2016,in altre regioni,1811
totali cancellati,femmine,fino a 17 anni,Calabria,2015,in altre regioni,1037
totali cancellati,femmine,fino a 17 anni,Calabria,2016,in altre regioni,1081
totali cancellati,femmine,65 anni e più,Calabria,2015,in altre regioni,762
totali cancellati,femmine,65 anni e più,Calabria,2016,in altre regioni,885
totali cancellati,femmine,18-39 anni,Calabria,2015,in altre regioni,4331
totali cancellati,femmine,18-39 anni,Calabria,2016,in altre regioni,4527
totali cancellati,femmine,40-64 anni,Calabria,2015,in altre regioni,1613
totali cancellati,femmine,40-64 anni,Calabria,2016,in altre regioni,1781
totali cancellati,maschi,fino a 17 anni,Calabria,2015,estero,254
totali cancellati,maschi,fino a 17 anni,Calabria,2016,estero,305
totali cancellati,maschi,65 anni e più,Calabria,2015,estero,156
totali cancellati,maschi,65 anni e più,Calabria,2016,estero,130
totali cancellati,maschi,18-39 anni,Calabria,2015,estero,1285
totali cancellati,maschi,18-39 anni,Calabria,2016,estero,1452
totali cancellati,maschi,40-64 anni,Calabria,2015,estero,589
totali cancellati,maschi,40-64 anni,Calabria,2016,estero,611
totali cancellati,femmine,fino a 17 anni,Calabria,2015,estero,246
totali cancellati,femmine,fino a 17 anni,Calabria,2016,estero,270
totali cancellati,femmine,65 anni e più,Calabria,2015,estero,141
totali cancellati,femmine,65 anni e più,Calabria,2016,estero,137
totali cancellati,femmine,18-39 anni,Calabria,2015,estero,867
totali cancellati,femmine,18-39 anni,Calabria,2016,estero,1113
totali cancellati,femmine,40-64 anni,Calabria,2015,estero,388
totali cancellati,femmine,40-64 anni,Calabria,2016,estero,447
totali cancellati,maschi,fino a 17 anni,Sicilia,2015,in altre regioni,2212
totali cancellati,maschi,fino a 17 anni,Sicilia,2016,in altre regioni,2321
totali cancellati,maschi,65 anni e più,Sicilia,2015,in altre regioni,735
totali cancellati,maschi,65 anni e più,Sicilia,2016,in altre regioni,723
totali cancellati,maschi,18-39 anni,Sicilia,2015,in altre regioni,7893
totali cancellati,maschi,18-39 anni,Sicilia,2016,in altre regioni,8527
totali cancellati,maschi,40-64 anni,Sicilia,2015,in altre regioni,2567
totali cancellati,maschi,40-64 anni,Sicilia,2016,in altre regioni,2970
totali cancellati,femmine,fino a 17 anni,Sicilia,2015,in altre regioni,2039
totali cancellati,femmine,fino a 17 anni,Sicilia,2016,in altre regioni,2153
totali cancellati,femmine,65 anni e più,Sicilia,2015,in altre regioni,1082
totali cancellati,femmine,65 anni e più,Sicilia,2016,in altre regioni,1072
totali cancellati,femmine,18-39 anni,Sicilia,2015,in altre regioni,7220
totali cancellati,femmine,18-39 anni,Sicilia,2016,in altre regioni,7703
totali cancellati,femmine,40-64 anni,Sicilia,2015,in altre regioni,2559
totali cancellati,femmine,40-64 anni,Sicilia,2016,in altre regioni,2827
totali cancellati,maschi,fino a 17 anni,Sicilia,2015,estero,1172
totali cancellati,maschi,fino a 17 anni,Sicilia,2016,estero,1007
totali cancellati,maschi,65 anni e più,Sicilia,2015,estero,324
totali cancellati,maschi,65 anni e più,Sicilia,2016,estero,292
totali cancellati,maschi,18-39 anni,Sicilia,2015,estero,3374
totali cancellati,maschi,18-39 anni,Sicilia,2016,estero,3819
totali cancellati,maschi,40-64 anni,Sicilia,2015,estero,1536
totali cancellati,maschi,40-64 anni,Sicilia,2016,estero,1396
totali cancellati,femmine,fino a 17 anni,Sicilia,2015,estero,1018
totali cancellati,femmine,fino a 17 anni,Sicilia,2016,estero,970
totali cancellati,femmine,65 anni e più,Sicilia,2015,estero,360
totali cancellati,femmine,65 anni e più,Sicilia,2016,estero,283
totali cancellati,femmine,18-39 anni,Sicilia,2015,estero,2575
totali cancellati,femmine,18-39 anni,Sicilia,2016,estero,2987
totali cancellati,femmine,40-64 anni,Sicilia,2015,estero,1179
totali cancellati,femmine,40-64 anni,Sicilia,2016,estero,1060
totali cancellati,maschi,fino a 17 anni,Sardegna,2015,in altre regioni,541
totali cancellati,maschi,fino a 17 anni,Sardegna,2016,in altre regioni,473
totali cancellati,maschi,65 anni e più,Sardegna,2015,in altre regioni,254
totali cancellati,maschi,65 anni e più,Sardegna,2016,in altre regioni,291
totali cancellati,maschi,18-39 anni,Sardegna,2015,in altre regioni,1773
totali cancellati,maschi,18-39 anni,Sardegna,2016,in altre regioni,1868
totali cancellati,maschi,40-64 anni,Sardegna,2015,in altre regioni,902
totali cancellati,maschi,40-64 anni,Sardegna,2016,in altre regioni,1026
totali cancellati,femmine,fino a 17 anni,Sardegna,2015,in altre regioni,501
totali cancellati,femmine,fino a 17 anni,Sardegna,2016,in altre regioni,482
totali cancellati,femmine,65 anni e più,Sardegna,2015,in altre regioni,307
totali cancellati,femmine,65 anni e più,Sardegna,2016,in altre regioni,342
totali cancellati,femmine,18-39 anni,Sardegna,2015,in altre regioni,1747
totali cancellati,femmine,18-39 anni,Sardegna,2016,in altre regioni,1816
totali cancellati,femmine,40-64 anni,Sardegna,2015,in altre regioni,829
totali cancellati,femmine,40-64 anni,Sardegna,2016,in altre regioni,892
totali cancellati,maschi,fino a 17 anni,Sardegna,2015,estero,205
totali cancellati,maschi,fino a 17 anni,Sardegna,2016,estero,188
totali cancellati,maschi,65 anni e più,Sardegna,2015,estero,58
totali cancellati,maschi,65 anni e più,Sardegna,2016,estero,62
totali cancellati,maschi,18-39 anni,Sardegna,2015,estero,1019
totali cancellati,maschi,18-39 anni,Sardegna,2016,estero,1168
totali cancellati,maschi,40-64 anni,Sardegna,2015,estero,386
totali cancellati,maschi,40-64 anni,Sardegna,2016,estero,372
totali cancellati,femmine,fino a 17 anni,Sardegna,2015,estero,171
totali cancellati,femmine,fino a 17 anni,Sardegna,2016,estero,190
totali cancellati,femmine,65 anni e più,Sardegna,2015,estero,52
totali cancellati,femmine,65 anni e più,Sardegna,2016,estero,57
totali cancellati,femmine,18-39 anni,Sardegna,2015,estero,880
totali cancellati,femmine,18-39 anni,Sardegna,2016,estero,1006
totali cancellati,femmine,40-64 anni,Sardegna,2015,estero,325
totali cancellati,femmine,40-64 anni,Sardegna,2016,estero,327
