"TIME","GEO","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2006","Italy","Age reached during the year","27 years","Number","Females","5,519",""
"2006","Italy","Age reached during the year","28 years","Number","Total","9,437",""
"2006","Italy","Age reached during the year","28 years","Number","Males","4,234",""
"2006","Italy","Age reached during the year","28 years","Number","Females","5,203",""
"2006","Italy","Age reached during the year","29 years","Number","Total","9,064",""
"2006","Italy","Age reached during the year","29 years","Number","Males","4,036",""
"2006","Italy","Age reached during the year","29 years","Number","Females","5,028",""
"2006","Italy","Age reached during the year","30 years","Number","Total","8,532",""
"2006","Italy","Age reached during the year","30 years","Number","Males","3,923",""
"2006","Italy","Age reached during the year","30 years","Number","Females","4,609",""
"2006","Italy","Age reached during the year","31 years","Number","Total","8,028",""
"2006","Italy","Age reached during the year","31 years","Number","Males","3,672",""
"2006","Italy","Age reached during the year","31 years","Number","Females","4,356",""
"2006","Italy","Age reached during the year","32 years","Number","Total","7,566",""
"2006","Italy","Age reached during the year","32 years","Number","Males","3,488",""
"2006","Italy","Age reached during the year","32 years","Number","Females","4,078",""
"2006","Italy","Age reached during the year","33 years","Number","Total","6,782",""
"2006","Italy","Age reached during the year","33 years","Number","Males","3,191",""
"2006","Italy","Age reached during the year","33 years","Number","Females","3,591",""
"2006","Italy","Age reached during the year","34 years","Number","Total","6,703",""
"2006","Italy","Age reached during the year","34 years","Number","Males","3,200",""
"2006","Italy","Age reached during the year","34 years","Number","Females","3,503",""
"2006","Italy","Age reached during the year","35 years","Number","Total","5,953",""
"2006","Italy","Age reached during the year","35 years","Number","Males","2,790",""
"2006","Italy","Age reached during the year","35 years","Number","Females","3,163",""
"2006","Italy","Age reached during the year","36 years","Number","Total","5,770",""
"2006","Italy","Age reached during the year","36 years","Number","Males","2,764",""
"2006","Italy","Age reached during the year","36 years","Number","Females","3,006",""
"2006","Italy","Age reached during the year","37 years","Number","Total","5,407",""
"2006","Italy","Age reached during the year","37 years","Number","Males","2,555",""
"2006","Italy","Age reached during the year","37 years","Number","Females","2,852",""
"2006","Italy","Age reached during the year","38 years","Number","Total","5,148",""
"2006","Italy","Age reached during the year","38 years","Number","Males","2,451",""
"2006","Italy","Age reached during the year","38 years","Number","Females","2,697",""
"2006","Italy","Age reached during the year","39 years","Number","Total","4,747",""
"2006","Italy","Age reached during the year","39 years","Number","Males","2,189",""
"2006","Italy","Age reached during the year","39 years","Number","Females","2,558",""
"2006","Italy","Age reached during the year","40 years","Number","Total","4,048",""
"2006","Italy","Age reached during the year","40 years","Number","Males","1,975",""
"2006","Italy","Age reached during the year","40 years","Number","Females","2,073",""
"2006","Italy","Age reached during the year","41 years","Number","Total","3,823",""
"2006","Italy","Age reached during the year","41 years","Number","Males","1,830",""
